Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Справочник	Склады	Склад						
				Ссылка	8e35d959-c17e-11e4-8400-005056b03126			
			xddMods					
				Режим	ТолькоСоздание			
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг1						
				Ссылка	f5f9b3e9-dc62-11e5-80c8-00155d01cd0e			
				Дата	20160101120000			
				Номер	АВТО-000011			
				Валюта	643	Код		
				Партнер	Поставщик (Авто-тест)	Наименование		
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный		
				Организация	Организация (Авто-тест)	Наименование		
				Склад	Склад	Перем		Центральный склад
				Контрагент	Поставщик (Авто-тест)	Наименование		
				Договор	Договор поставщик (Авто-тест)	Наименование		
				СуммаДокумента	259600			
				Менеджер	Пользователи.ТекущийПользователь()	Выражение		
				ВалютаВзаиморасчетов	643	Код		
				ДатаПлатежа	20160101000000			
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Согласован	Истина			
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный		
				СуммаВзаиморасчетов	259600			
				Автор	Пользователи.ТекущийПользователь()	Выражение		
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный		
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный		
			Товары					
				Номенклатура	Материал 1 (Авто-тест)	Наименование		
				КоличествоУпаковок	20			
				Количество	20			
				Цена	500			
				Сумма	10000			
				СтавкаНДС	НДС18	Предопределенный		
				СуммаНДС	1800			
				СуммаСНДС	11800			
				Склад	Склад	Перем		
				СуммаВзаиморасчетов	11800			
				СуммаНДСВзаиморасчетов	1800			
				ИдентификаторСтроки	0793ba7a-8fc9-42a6-b749-909585a026e2			
				СписатьНаРасходы	Ложь			
			Товары					
				Номенклатура	Материал 2 (Авто-тест)	Наименование		
				КоличествоУпаковок	20			
				Количество	20			
				Цена	600			
				Сумма	12000			
				СтавкаНДС	НДС18	Предопределенный		
				СуммаНДС	2160			
				СуммаСНДС	14160			
				Склад	Склад	Перем		
				СуммаВзаиморасчетов	14160			
				СуммаНДСВзаиморасчетов	2160			
				ИдентификаторСтроки	9fdb4bc7-a04e-4906-87e3-59382cb036a1			
				СписатьНаРасходы	Ложь			
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг2						
				Ссылка	f5f9b3e9-dc62-11e5-80c8-00155d01cd0f			
				Дата	20160101120000			
				Номер	АВТО-000012			
				Валюта	643	Код		
				Партнер	Поставщик (Авто-тест)	Наименование		
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный		
				Организация	Организация (Авто-тест)	Наименование		
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид		
				Контрагент	Поставщик (Авто-тест)	Наименование		
				Договор	Договор поставщик (Авто-тест)	Наименование		
				СуммаДокумента	259600			
				Менеджер	Пользователи.ТекущийПользователь()	Выражение		
				ВалютаВзаиморасчетов	643	Код		
				ДатаПлатежа	20160101000000			
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Согласован	Истина			
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный		
				СуммаВзаиморасчетов	259600			
				Автор	Пользователи.ТекущийПользователь()	Выражение		
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный		
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный		
			Товары					
				Номенклатура	Отходы 1 (Авто-тест)	Наименование		
				КоличествоУпаковок	3			
				Количество	3			
				Цена	10000			
				Сумма	30000			
				СтавкаНДС	БезНДС	Предопределенный		
				СуммаНДС	0			
				СуммаСНДС	30000			
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид		
				СуммаВзаиморасчетов	30000			
				СуммаНДСВзаиморасчетов	0			
				ИдентификаторСтроки	0793ba7a-8fc9-42a6-b749-909585a026e3			
				СписатьНаРасходы	Ложь			
