Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Справочник	Склады	ЦентральныйСклад						
				Ссылка	dae1f860-dc62-11e5-80c8-00155d01cd0e			
			xddMods					
				Режим	ТолькоСоздание			
Справочник	Склады	Склад						
				Ссылка	9e35d959-c17e-11e4-8400-005056b03126			
			xddMods					
				Режим	ТолькоСоздание			
Документ	ПеремещениеТоваров	Перемещение						
				Проведен	Ложь			
				Ссылка	29aa3982-dc63-11e5-80c8-00155d01cd0e			
				Дата	20160103120000			
				Номер	АВТО-000001			
				ДатаРаспоряжения	20160104235959			
				Организация	Организация (Авто-тест)	Наименование		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение		
				СкладОтправитель	ЦентральныйСклад	Перем		Центральны склад
				СкладПолучатель	Склад	Перем		Склад
				Статус	Принято	Предопределенный		
				ХозяйственнаяОперация	ПеремещениеТоваров	Предопределенный		
				СпособДоставки	Самовывоз	Предопределенный		
				ДокументОснование	АВТО-000001	Номер		
			Товары					
				Номенклатура	Материал 1 (Авто-тест)	Наименование		
				КоличествоУпаковок	50			
				Количество	50			
			Товары					
				Номенклатура	Материал 2 (Авто-тест)	Наименование		
				КоличествоУпаковок	40			
				Количество	40			
