Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	Замещение
Справочник	Организации	Организация						
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e			
			xddMods					
				Режим	ТолькоСоздание			
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоГП1						
				Ссылка	affaffcd-dc5d-11e5-80c8-00155d01cd0e			
				Дата	20170701120001			
				Номер	АВТО-000011			
				Организация	Организация	Перем		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид		
				Статус	КПроизводству	Предопределенный		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение		
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный		
				Комментарий	Авто-тест			
				Очередь	107			
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Назначение		Наименование		
				Приоритет	Средний	Наименование		
			Продукция					
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид		
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид		
				КоличествоУпаковок	3			
				Количество	3			
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид		
				ДатаПотребности	20170725000000			
				НачатьНеРанее	20170701000000			
				РазмещениеВыпуска	КНачалу	Предопределенный		
				ИзмененияЗапрещены	Истина			
				КодСтроки	1			
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид		
				КлючСвязиПродукция	00000000-0000-0000-0000-000000000000	Гуид		
				ОптимальноеКоличествоПередачиМеждуЭтапами	1			
				ЕстьСоответствиеСтандартнойСпецификации	Истина			
				ГрафикРассчитан	Ложь			
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоПФ						
				Ссылка	cffaffcd-dc5d-11e5-80c8-00155d01cd0e			
				Дата	20170701120001			
				Номер	АВТО-000012			
				Организация	Организация	Перем		
				Подразделение	b56e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид		
				Статус	КПроизводству	Предопределенный		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение		
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный		
				Комментарий	Авто-тест			
				Очередь	108			
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Назначение		Наименование		
				Приоритет	Средний	Наименование		
			Продукция					
				Номенклатура	Продукция ПФ (Авто-тест)	Наименование		
				Склад	8e35d959-c17e-11e4-8400-005056b03126	Гуид		
				КоличествоУпаковок	3			
				Количество	3			
				Спецификация	d3dff247-d70b-11e5-80c8-00155d01cd21	Гуид		
				ДатаПотребности	20170725000000			
				НачатьНеРанее	20170701000000			
				РазмещениеВыпуска	КНачалу	Предопределенный		
				ИзмененияЗапрещены	Истина			
				КодСтроки	1			
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a69	Гуид		
				КлючСвязиПродукция	00000000-0000-0000-0000-000000000000	Гуид		
				ОптимальноеКоличествоПередачиМеждуЭтапами	1			
				ЕстьСоответствиеСтандартнойСпецификации	Истина			
				ГрафикРассчитан	Ложь			
