Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг1						
				Ссылка	7045696f-944d-11e6-998b-00215e64f5ec			
				Дата	20160501235959			
				Валюта	643	Код		
				Партнер	Поставщик (Авто-тест)	Наименование		
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный		
				Организация	Организация (Авто-тест)	Наименование		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование		
				Склад	Склад ГП (Авто-тест)	Наименование		
				Контрагент	Поставщик (Авто-тест)	Наименование		
				СуммаДокумента	1180			
				Менеджер	Пользователи.ТекущийПользователь()	Выражение		
				ВалютаВзаиморасчетов	643	Код		
				ДатаПлатежа	20160501000000			
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Согласован	Истина			
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный		
				СуммаВзаиморасчетов	1180			
				Автор	Пользователи.ТекущийПользователь()	Выражение		
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный		
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный		
				АдресДоставки	112000, РФ, г. Москва, ул. Пражская, 4			
			Товары					
				Номенклатура	Продукция товар (Авто-тест)	Наименование		
				КоличествоУпаковок	1			
				Количество	1			
				Цена	1000			
				Сумма	1000			
				СтавкаНДС	НДС18	Предопределенный		
				СуммаНДС	180			
				СуммаСНДС	1180			
				Склад	Склад ГП (Авто-тест)	Наименование		
				СуммаВзаиморасчетов	1180			
				СуммаНДСВзаиморасчетов	180			
				ИдентификаторСтроки	7f10cd8a-3d48-49f5-8db1-3e847002d1f3			
				СписатьНаРасходы	Ложь			
