Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	Замещение
Справочник	Организации	Организация						
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e			
			xddMods					
				Режим	ТолькоСоздание			
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоГП1						
				Проведен	Истина			
				Ссылка	bffaffcd-dc5d-11e5-80c8-00155d01cd0e			
				Дата	20160101120001			
				Номер	АВТО-000001			
				Организация	Организация	Перем		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид		
				Статус	КПроизводству	Предопределенный		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение		
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный		
				Комментарий	Авто-тест			Авто-тест
				Очередь	107			
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный		
				Назначение		Наименование		
				Приоритет	Средний	Наименование		
			Продукция					
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1f	Гуид		
				КоличествоУпаковок	1			
				Количество	1			
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd20	Гуид		
				ДатаПотребности	20160125000000			
				НачатьНеРанее	20160101000000			
				РазмещениеВыпуска	КНачалу	Предопределенный		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид		
				ИзмененияЗапрещены	Истина			
				КодСтроки	1			
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид		
				КлючСвязиПродукция	00000000-0000-0000-0000-000000000000	Гуид		
				ОптимальноеКоличествоПередачиМеждуЭтапами	1			
				ЕстьСоответствиеСтандартнойСпецификации	Истина			
				ГрафикРассчитан	Ложь			
