Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Документ	ПеремещениеТоваров	Перемещение1						
				Проведен	Ложь			
				Ссылка	29aa3982-dc63-11e5-80c8-00155d01cd0e			
				Дата	20160103120000			
				Номер	АВТО-000001			
				ДатаРаспоряжения	20160104235959			
				Организация	Организация (Авто-тест)	Наименование		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение		
				СкладОтправитель	Центральный склад (Авто-тест)	Наименование		
				СкладПолучатель	Склад (Авто-тест)	Наименование		
				Статус	Принято	Предопределенный		
				ХозяйственнаяОперация	ПеремещениеТоваров	Предопределенный		
				СпособДоставки	Самовывоз	Предопределенный		
				ДокументОснование	АВТО-000001	Номер		
			Товары					
				Номенклатура	Материал 1 (Авто-тест)	Наименование		
				КоличествоУпаковок	50			
				Количество	50			
			Товары					
				Номенклатура	Материал 2 (Авто-тест)	Наименование		
				КоличествоУпаковок	40			
				Количество	40			
