Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	РеализацияТоваровУслуг	РеализацияТоваровИУслуг1					
				Проведен	Истина		
				Ссылка	fe38f068-944d-11e6-998b-00215e64f5ec		
				Дата	20160502210005		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				Валюта	643	Код	
				ВалютаВзаиморасчетов	643	Код	
				ДатаРаспоряжения	20160502235959		
				Организация	Организация (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НалогообложениеНДС	ПродажаНаЭкспорт	Предопределенный	
				СуммаДокумента	2000		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	
				Согласован	Истина		
				Соглашение	Соглашение с клиентом комиссия (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	2000		
				ХозяйственнаяОперация	ПередачаНаКомиссию	Предопределенный	
				Договор	Договор комиссии (Авто-тест)	Наименование	
				Основание	Передача на комиссию		
				Статус	Отгружено	Предопределенный	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				СпособДоставки	Самовывоз	Предопределенный	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				ДатаВозвратаМногооборотнойТары	20160502000000		
				ВариантОформленияПродажи	РеализацияТоваровУслуг	Предопределенный	
				ИдентификаторПлатежа	НК1605АВ000000010009		
			Товары				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Цена	2000		
				Сумма	2000		
				СтавкаНДС	НДС0	Предопределенный	
				СуммаСНДС	2000		
				Склад	Склад ГП (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	2000		
				ИдентификаторСтроки	3e2c7f2d-0777-4296-a4dd-a38754dec80b		
