Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ЭтапыПроизводства	Этап					
				Ссылка	07c9a6fb-7a1b-11e5-80be-00155d01ce1c		
				Владелец	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				Наименование	Этап П1 спецификация 2 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
				ДнейДоОкончания	1		
				МаксимальноеКоличествоЕдиницПартийИзделия	0		
			xddMods				
				Режим	ОбменДанными		
Справочник	РесурсныеСпецификации	Спецификация					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd21		
				Родитель	2dd5669f-4fdd-11e6-9b49-00221531299d	Гуид	
				Наименование	Спецификация 2 товар 1 (Авто-тест)		
				Статус	Действует	Предопределенный	
				НачалоДействия	20160101000000		
				Ответственный	c57c8b52-4802-11e6-868a-00221531299d	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	Этап	Перем	
				СтатьяКалькуляции	0925934c-65ed-11e5-80c8-005056b06236	Гуид	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
			xddMods				
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство					
				Проведен	Истина		
				Ссылка	affaffcd-dc5d-11e5-80c8-00155d01cd0e		
				Дата	20160101120001		
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	Рассчитан	Предопределенный	
				Комментарий	Авто-тест		
				Очередь	107		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				ДатаПотребности	20160125000000		
				НачатьНеРанее	20160101000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ИзмененияЗапрещены	Истина		
