Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоГП1					
				Ссылка	affaffcd-dc5d-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоПФ					
				Ссылка	cffaffcd-dc5d-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Документ	РеализацияТоваровУслуг	РТУ1					
				Ссылка	e75c7b68-4fe2-11e6-9b49-00221531299d		
			xddMods				
				Режим	ТолькоСоздание		
Документ	РеализацияТоваровУслуг	РТУ2					
				Ссылка	12354d68-4fe3-11e6-9b49-00221531299d		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	Подразделение1					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	ПодразделениеПФ					
				Ссылка	b56e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	Склад					
				Ссылка	9e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	СкладПроизводство					
				Ссылка	8e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
