Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказКлиента	ЗаказКлиента1					
				Проведен	Истина		
				Ссылка	a8ef89bc-cc39-11e6-998b-00215e64f5ec		
				Дата	20161227163751		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом (Авто-тест)	Наименование	
				Валюта	643	Код	
				СуммаДокумента	2950		
				ЖелаемаяДатаОтгрузки	20161230000000		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НеОтгружатьЧастями	Истина		
				Статус	КОбеспечению	Предопределенный	
				МаксимальныйКодСтроки	1		
				ДатаСогласования	20161227000000		
				Согласован	Истина		
				БанковскийСчет	Банковский счет USD (Авто-тест)	Наименование	
				ДатаОтгрузки	20161231000000		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Договор	Договор покупатель по заказам (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	СправочникСсылка.Пользователи
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	Самовывоз	Предопределенный	
				Приоритет	Средний	Наименование	
				ИдентификаторПлатежа	ЗК1612АВ000000020007		
			Товары				
				ДатаОтгрузки	20161231000000		
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1	Наименование	
				КоличествоУпаковок	2,5		
				Количество	2,5		
				Цена	1000		
				Сумма	2500		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	450		
				СуммаСНДС	2950		
				КодСтроки	1		
				Отменено	Ложь		
				ВариантОбеспечения	НеТребуется	Предопределенный	
				_КоличествоМест	5		
				_ЕдиницаМест	ящ (25кг)	Наименование	
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеОтгрузки	Предопределенный	
				ДатаПлатежа	20161230000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	2950		
			ДополнительныеРеквизиты				
				Свойство	Условие доставки Инкотермс (Список заказов клиентов)	Наименование	
				Значение	DAP	Наименование	СправочникСсылка.ЗначенияСвойствОбъектов
