Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство2_2	ЗаказНаПроизводствоГП1					
				Проведен	Истина		
				Ссылка	26c05d53-88c2-11e7-9b01-00215e64f5ec		
				Дата	20170801120000		
				Приоритет	Средний	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Статус	КПроизводству	Предопределенный	
				Очередь	6		
				Организация	Организация (Авто-тест)	Наименование	
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				РазмещениеВыпуска	КНачалу	Предопределенный	
				ДатаПотребности	20170801000000		
				НачатьНеРанее	20170801000000		
				ХозяйственнаяОперация	СобственноеПроизводство	Предопределенный	
				ВариантОбособления	ЭтапПроизводства	Предопределенный	
			Продукция				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	Спецификация товар 1 Мин (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	



















