Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказКлиента	ЗаказКлиента1					
				Ссылка	93248fe5-0274-11e7-a454-00215e64f5ec		
				Дата	20170301165537		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом без договоров (Авто-тест)	Наименование	
				Валюта	643	Код	
				СуммаДокумента	10000		
				Склад	Склад ГП (Авто-тест)	Наименование	
				ЦенаВключаетНДС	Истина		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НеОтгружатьЧастями	Истина		
				Статус	КОбеспечению	Предопределенный	
				МаксимальныйКодСтроки	1		
				ДатаСогласования	20170306000000		
				Согласован	Истина		
				ДатаОтгрузки	20170306000000		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	Самовывоз	Предопределенный	
				Приоритет	Средний	Наименование	
				ИдентификаторПлатежа	ЗК1703АВ000000010006		
			Товары				
				ДатаОтгрузки	20170306000000		
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	10		
				Количество	10		
				Цена	1000		
				Сумма	10000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	1525,42		
				СуммаСНДС	10000		
				КодСтроки	1		
				Отменено	Ложь		
				Склад	Склад ГП (Авто-тест)	Наименование	
				ВариантОбеспечения	Требуется	Предопределенный	
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеОтгрузки	Предопределенный	
				ДатаПлатежа	20170301000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	10000		
				ПроцентЗалогаЗаТару	100		
Документ	ПоступлениеБезналичныхДенежныхСредств	ПоступлениеБезналичныхДС1					
				Ссылка	e57fa5ad-0274-11e7-a454-00215e64f5ec		
				Дата	20170302120001		
				Организация	Организация (Авто-тест)	Наименование	
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ТипПлатежногоДокумента	ПлатежноеПоручение	Предопределенный	
				ХозяйственнаяОперация	ПоступлениеОплатыОтКлиента	Предопределенный	
				СуммаДокумента	16000		
				Контрагент	Покупатель (Авто-тест)	Наименование	
				ДатаВходящегоДокумента	20170302000000		
				НомерВходящегоДокумента	1		
				Валюта	643	Код	
				ПроведеноБанком	Истина		
				ДатаПроведенияБанком	20170302000000		
			РасшифровкаПлатежа				
				Партнер	Покупатель (Авто-тест)	Наименование	
				СтатьяДвиженияДенежныхСредств	ПоступлениеОплатыОтКлиента	Предопределенный	
				ОснованиеПлатежа			СправочникСсылка.ДоговорыКонтрагентов
				Сумма	10000		
				ВалютаВзаиморасчетов	643	Код	
				СуммаВзаиморасчетов	10000		
				СтатьяДоходов			
				ИдентификаторСтроки	4c804db4-29bd-4c56-a8fd-261aafb2e2b1		
				Организация	Организация (Авто-тест)	Наименование	
Документ	ВзаимозачетЗадолженности	ВзаимозачетЗадолженности1					
				Ссылка	78ef5fba-0275-11e7-a454-00215e64f5ec		
				Дата	20170306173342		
				Организация	Организация (Авто-тест)	Наименование	
				КонтрагентДебитор	Покупатель (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				КонтрагентКредитор	Покупатель (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				СуммаДокумента	8000		
				Валюта	643	Код	
				ВидОперации	Произвольный	Предопределенный	
				ТипДебитора	Клиент	Предопределенный	
				ТипКредитора	Клиент	Предопределенный	
			ДебиторскаяЗадолженность				
				ТипРасчетов	РасчетыСКлиентом	Предопределенный	
				Партнер	Покупатель (Авто-тест)	Наименование	
				Заказ	ЗаказКлиента1	Перем	ДокументСсылка.ЗаказКлиента
				Сумма	8000		
				СуммаВзаиморасчетов	8000		
				ВалютаВзаиморасчетов	643	Код	
				ИдентификаторСтроки	c390797a-1652-4ff5-8adb-6721c9af0e00		
				Организация	Организация (Авто-тест)	Наименование	
			КредиторскаяЗадолженность				
				ТипРасчетов	РасчетыСКлиентом	Предопределенный	
				Партнер	Покупатель (Авто-тест)	Наименование	
				Сумма	8000		
				СуммаВзаиморасчетов	8000		
				ВалютаВзаиморасчетов	643	Код	
				ИдентификаторСтроки	f5664be0-0de0-488c-8bd4-8cda326277ea		
				Организация	Организация (Авто-тест)	Наименование	
