Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	СтруктураПредприятия	Подразделение					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
				Наименование	Подразделение 1 (Авто-тест)		
				ВариантОбособленногоУчетаТоваров	НеВедется	Предопределенный	
				ПроизводственноеПодразделение	Истина		
				ИнтервалПланирования	День	Предопределенный	
				ОкончаниеИнтервалаПланирования	00010101235959		
				УправлениеМаршрутнымиЛистами	МетодикаББВ	Предопределенный	
				РеквизитДопУпорядочивания	5		
				ЗаполнениеДоступностиДляРасписанияРЦКоличествоИнтервалов	1		
				ЗаполнениеДоступностиДляГрафикаПроизводстваКоличествоИнтервалов	1		
				ПодразделениеДиспетчер	Истина		
				ВремяНаРегистрациюВыполненияЕдИзм	Минута	Предопределенный	
				ПроизводствоПоЗаказам	Истина		
