Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ЭтапыПроизводства	Этап1					
				Ссылка	07c9a6fb-7a1b-11e5-80be-00155d01ce1c		
				Владелец	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				Наименование	Этап П1 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
				МаксимальноеКоличествоЕдиницПартийИзделия	0		
			xddMods				
				Режим	ОбменДанными		
Справочник	ЭтапыПроизводства	Этап2					
				Ссылка	6b7de13d-6f8b-11e6-9868-00221531299d		
				Владелец	6b7de13c-6f8b-11e6-9868-00221531299d	Гуид	
				Наименование	Этап П2 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
			xddMods				
				Режим	ОбменДанными		
Справочник	РесурсныеСпецификации	Спецификация1					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd21		
				Родитель	2dd5669f-4fdd-11e6-9b49-00221531299d	Гуид	
				Наименование	Спецификация 2 товар 1 (Авто-тест)		
				Статус	Действует	Предопределенный	
				НачалоДействия	20160101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап1	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	Этап1	Перем	
				СтатьяКалькуляции	0925934c-65ed-11e5-80c8-005056b06236	Гуид	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			xddMods				
				Режим	ОбменДанными		
Справочник	РесурсныеСпецификации	Спецификация2					
				Ссылка	6b7de13c-6f8b-11e6-9868-00221531299d		
				Родитель	2dd5669f-4fdd-11e6-9b49-00221531299d	Гуид	
				Наименование	Спецификация 2 товар 2 (Авто-тест)		
				Статус	Действует	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-01155d01cd1d	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап2	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	13c0f0ce-dc5b-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	Этап2	Перем	
				СтатьяКалькуляции	0925934c-65ed-11e5-80c8-005056b06236	Гуид	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			xddMods				
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство					
				Проведен	Истина		
				Ссылка	affaffcd-dc5d-11e5-80c8-00155d01cd0e		
				Дата	20160101120001		
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	Рассчитан	Предопределенный	
				Комментарий	Авто-тест		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Назначение	5a8d29e0-6f6e-11e6-998b-00215e64f5ec	Гуид	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				ДатаПотребности	20160125000000		
				НачатьНеРанее	20160101000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ИзмененияЗапрещены	Истина		
				КодСтроки	1		
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Истина		
			Продукция				
				Номенклатура	d2dff247-d70b-11e5-80c8-01155d01cd1d	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	6b7de13c-6f8b-11e6-9868-00221531299d	Гуид	
				ДатаПотребности	20160125000000		
				НачатьНеРанее	20160101000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ИзмененияЗапрещены	Истина		
				КодСтроки	2		
				КлючСвязи	3b390c83-15f9-45e3-b8d1-866e2f30e0cb	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Истина		
			Этапы				
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Количество	3		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
