Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	СчетФактураПолученный	СчетФактураВознаграждение1					
				Ссылка	cf6ca42f-944f-11e6-998b-00215e64f5ec		
				Дата	20160531235959		
				Организация	Организация (Авто-тест)	Наименование	
				ПолученВЭлектронномВиде	Истина		
				Валюта	643	Код	
				КодВидаОперации	01		
				Контрагент	Покупатель (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				ДатаСоставления	20160531000000		
				ДатаЗаписиКнигиПокупок	20160531000000		
				КодВидаОперацииНаУменьшение	18		
			ДокументыОснования				
				ДокументОснование	092a6b47-944f-11e6-998b-00215e64f5ec	Гуид	ДокументСсылка.ОтчетКомиссионера
