Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Номенклатура	НоменклатураГруппа				Группа	
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd1e		
				Наименование	Группа (Авто-тест)		
				КодДляПоиска	171		
			xddMods				
				Режим	Группа		
Справочник	Номенклатура	НоменклатураПродукция					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd1f		
				Родитель	НоменклатураГруппа	Перем	
				Наименование	Продукция работа (Авто-тест)		
				ВариантОформленияПродажи	АктВыполненныхРабот	Предопределенный	
				ВидНоменклатуры	Работы	Перем	
				ГруппаФинансовогоУчета	Продукция	Наименование	
				ЕдиницаИзмерения	шт	Наименование	
				ЕдиницаИзмеренияСрокаГодности	Сутки	Предопределенный	
				ИспользованиеХарактеристик	НеИспользовать	Предопределенный	
				Качество	Новый	Предопределенный	
				КодДляПоиска	176		
				НаименованиеПолное	Продукция работа (Авто-тест)		
				СтавкаНДС	НДС18	Предопределенный	
				ТипНоменклатуры	Работа	Предопределенный	
				ЕдиницаДляОтчетов	шт	Наименование	
				КоэффициентЕдиницыДляОтчетов	1		
Справочник	Номенклатура	Материал1					
				Ссылка	fd53b66a-dc5a-11e5-80c8-00155d01cd0e		
				Родитель	НоменклатураГруппа	Перем	
				Наименование	Материал 1 (Авто-тест)		
				ВариантОформленияПродажи	РеализацияТоваровУслуг	Предопределенный	
				ВидНоменклатуры	Материалы	Перем	
				ГруппаФинансовогоУчета	Материалы	Наименование	
				ЕдиницаИзмерения	шт	Наименование	
				ЕдиницаИзмеренияСрокаГодности	Сутки	Предопределенный	
				ИспользованиеХарактеристик	НеИспользовать	Предопределенный	
				Качество	Новый	Предопределенный	
				КодДляПоиска	177		
				НаименованиеПолное	Материал 1		
				СтавкаНДС	НДС18	Предопределенный	
				ТипНоменклатуры	Товар	Предопределенный	
				СхемаОбеспечения	Схема обеспечения (Авто-тест)	Наименование	
				ЕдиницаДляОтчетов	шт	Наименование	
				КоэффициентЕдиницыДляОтчетов	1		
Справочник	Номенклатура	Материал2					
				Ссылка	13c0f0ce-dc5b-11e5-80c8-00155d01cd0e		
				Родитель	НоменклатураГруппа	Перем	
				Наименование	Материал 2 (Авто-тест)		
				ВариантОформленияПродажи	РеализацияТоваровУслуг	Предопределенный	
				ВидНоменклатуры	Материалы	Перем	
				ГруппаФинансовогоУчета	Материалы	Наименование	
				ЕдиницаИзмерения	шт	Наименование	
				ЕдиницаИзмеренияСрокаГодности	Сутки	Предопределенный	
				ИспользованиеХарактеристик	НеИспользовать	Предопределенный	
				Качество	Новый	Предопределенный	
				КодДляПоиска	178		
				НаименованиеПолное	Материал 2		
				СтавкаНДС	НДС18	Предопределенный	
				ТипНоменклатуры	Товар	Предопределенный	
				СхемаОбеспечения	Схема обеспечения (Авто-тест)	Наименование	
				ЕдиницаДляОтчетов	шт	Наименование	
				КоэффициентЕдиницыДляОтчетов	1		
