Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	РаспределениеПроизводственныхЗатрат	РаспределениеМатериалов1					
				Ссылка	25a815ea-648d-11e6-9913-00215e64f5ec		
				Дата	20160131235959		
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Номенклатура	d4dff247-d70b-11e5-80c8-01155d01cd1d	Гуид	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				Количество	3		
				ПравилоРаспределения	fbc1e5ac-83b4-11e5-971c-00221531299d	Гуид	
				БазаРаспределения	КоличествоПродукции	Предопределенный	
				КоличествоКРаспределениюПоПравилу	3		
				СтатьяКалькуляции	a6ab7369-011c-11df-a28c-00215e651fe4	Гуид	















































































