Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказПоставщику	ЗаказПоставщику1					
				Проведен	Истина		
				Ссылка	670bbdaa-8e20-11e7-9b01-00215e64f5ec		
				Дата	20170801120000		
				Партнер	Поставщик (Авто-тест)	Наименование	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Склад	Склад (Авто-тест)	Наименование	
				Валюта	643	Код	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				Статус	Закрыт	Предопределенный	
				СуммаДокумента	1180		
				МаксимальныйКодСтроки	1		
				Согласован	Истина		
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				СуммаПредоплатыДоПоступления	1180		
				ДатаПервогоПоступления	20170831000000		
				ДатаСогласования	20170831000000		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ДокументОснование			ДокументСсылка.ЗаказКлиента
				ПоступлениеОднойДатой	Истина		
				ДатаПоступления	20170831000000		
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Приоритет	Средний	Наименование	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
				АдресДоставки	112000, РФ, г. Москва, ул. Пражская, 4		
				ПорядокОплаты	РасчетыВРубляхОплатаВРублях	Предопределенный	
			Товары				
				Номенклатура	Материал 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				ДатаПоступления	20170831000000		
				Цена	1000		
				Сумма	1000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	180		
				СуммаСНДС	1180		
				КодСтроки	1		
				Отменено	Ложь		
				Склад	Склад (Авто-тест)	Наименование	
				СписатьНаРасходы	Ложь		
			ЭтапыГрафикаОплаты				
				ВариантОплаты	ПредоплатаДоПоступления	Предопределенный	
				ДатаПлатежа	20170801000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	1180		
Документ	ПоступлениеУслугПрочихАктивов	ПоступлениеУслугИПрочихАктивов1					
				Проведен	Истина		
				Ссылка	6379b5ea-8e23-11e7-9b01-00215e64f5ec		
				Дата	20170804120001		
				Организация	Организация (Авто-тест)	Наименование	
				Партнер	Поставщик (Авто-тест)	Наименование	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				Валюта	643	Код	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20170806000000		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаДокумента	1180		
				СуммаВзаиморасчетов	1180		
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				_ЗаказПоставщику	ЗаказПоставщику1	Перем	
				Курс	1		
				Кратность	1		
				ПорядокОплаты	РасчетыВРубляхОплатаВРублях	Предопределенный	
			Расходы				
				Содержание	тест		
				Количество	1		
				Цена	1000		
				Сумма	1000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	180		
				СуммаСНДС	1180		
				СтатьяРасходов	Оплата труда (Авто-тест)	Наименование	
				ИдентификаторСтроки	0eb0873f-600e-450f-94aa-48710c76c414		
				СуммаВзаиморасчетов	1180		
				СуммаНДСВзаиморасчетов	180		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
Документ	СписаниеБезналичныхДенежныхСредств	СписаниеДС1					
				Проведен	Истина		
				Ссылка	b2df64bc-8e24-11e7-9b01-00215e64f5ec		
				Дата	20170803120000		
				ДатаВходящегоДокумента	20170803000000		
				Контрагент	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ОплатаПоставщику	Предопределенный	
				НомерВходящегоДокумента	1		
				Организация	Организация (Авто-тест)	Наименование	
				ОчередностьПлатежа	5		
				СуммаДокумента	1180		
				Валюта	643	Код	
				БанковскийСчетКонтрагента	Счет поставщика	Наименование	
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ВидПеречисленияВБюджет	НалоговыйПлатеж	Предопределенный	
				ТипПлатежногоДокумента	ПлатежноеПоручение	Предопределенный	
				ДокументОснование	ЗаказПоставщику1	Перем	
				ПроведеноБанком	Истина		
				ДатаПроведенияБанком	20170803000000		
			РасшифровкаПлатежа				
				Партнер	Поставщик (Авто-тест)	Наименование	
				СтатьяДвиженияДенежныхСредств	ОплатаПоставщику		
				Заказ	ЗаказПоставщику1	Перем	
				Сумма	1180		
				ВалютаВзаиморасчетов	руб.	Наименование	
				СуммаВзаиморасчетов	1180		
				СтатьяРасходов			
				ИдентификаторСтроки	47d9b214-c541-427a-b905-7911352e1266		
				Организация	Организация (Авто-тест)	Наименование	
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	180		
