Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство1					
				Проведен	Истина		
				Ссылка	061e8c16-c06a-11e6-998b-00215e64f5ec		
				Дата	20161212155348		
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Статус	Создан	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный	
				Комментарий	Сформирован автоматически обработкой "Формирование заказов по потребностям".		
				Очередь	890		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Назначение	061e8c15-c06a-11e6-998b-00215e64f5ec	Гуид	
				Приоритет	5dd3b2a2-aa1d-11e4-ae9d-e41f131c6950	Гуид	
			Продукция				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	25		
				Количество	25		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				ДатаПотребности	20161212000000		
				НачатьНеРанее	20161212000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ИзмененияЗапрещены	Ложь		
				КодСтроки	1		
				КлючСвязи	2f1b5561-6329-4ec5-82b1-eac91521347a	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Ложь		
			Этапы				
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Количество	25		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				КлючСвязи	d1d66f76-7030-4c97-814e-c1dc7c3b94e9	Гуид	
				КлючСвязиПродукция	2f1b5561-6329-4ec5-82b1-eac91521347a	Гуид	
				НаименованиеЭтапа	Спецификация товар 1 (Авто-тест)		
				ЭтапВосстановленияБрака	Ложь		
				ПроизводствоНаСтороне	Ложь		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	25		
				Количество	25		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ДоляСтоимости	1		
