Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Склады	Склад					
				Ссылка	8e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг1					
				Проведен	Истина		
				Ссылка	f5f9b3e9-dc62-11e5-80c8-00155d01cd0e		
				Дата	20170701120000		
				Номер	АВТО-000011		
				Валюта	643	Код	
				Партнер	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Склад	Склад	Перем	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				Договор	Договор поставщик (Авто-тест)	Наименование	
				СуммаДокумента	259600		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20170701000000		
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Согласован	Истина		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаВзаиморасчетов	259600		
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
			Товары				
				Номенклатура	Материал 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	200		
				Количество	200		
				Цена	500		
				Сумма	100000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	18000		
				СуммаСНДС	118000		
				Склад	Склад	Перем	
				СуммаВзаиморасчетов	118000		
				СуммаНДСВзаиморасчетов	18000		
				ИдентификаторСтроки	0793ba7a-8fc9-42a6-b749-909585a026e2		
				СписатьНаРасходы	Ложь		
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг2					
				Проведен	Истина		
				Ссылка	f5f9b3e9-dc62-11e5-80c8-00155d01cd1e		
				Дата	20170701120000		
				Номер	АВТО-000012		
				Валюта	643	Код	
				Партнер	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Склад	Склад	Перем	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				Договор	Договор поставщик (Авто-тест)	Наименование	
				СуммаДокумента	259600		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20170701000000		
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Согласован	Истина		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаВзаиморасчетов	259600		
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
			Товары				
				Номенклатура	Материал 2 (Авто-тест)	Наименование	
				КоличествоУпаковок	200		
				Количество	200		
				Цена	600		
				Сумма	120000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	21600		
				СуммаСНДС	141600		
				Склад	Склад	Перем	
				СуммаВзаиморасчетов	141600		
				СуммаНДСВзаиморасчетов	21600		
				ИдентификаторСтроки	9fdb4bc7-a04e-4906-87e3-59382cb036a1		
				СписатьНаРасходы	Ложь		
			Товары				
				Номенклатура	Материал 3 (Авто-тест)	Наименование	
				КоличествоУпаковок	200		
				Количество	200		
				Цена	600		
				Сумма	140000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	25200		
				СуммаСНДС	165200		
				Склад	Склад	Перем	
				СуммаВзаиморасчетов	165200		
				СуммаНДСВзаиморасчетов	25200		
				ИдентификаторСтроки	9fdb4bc7-a04e-4906-87e3-59382cb036a2		
				СписатьНаРасходы	Ложь		
