Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ВидыНоменклатуры	Материалы					
				Ссылка	e0350332-5700-11e5-80c4-005056b06236		
				Наименование	Материалы (Авто-тест)		
				ВариантОформленияПродажи	РеализацияТоваровУслуг	Предопределенный	
				ВариантПредставленияНабораВПечатныхФормах	НаборИКомплектующие	Предопределенный	
				ВариантРасчетаЦеныНабора	РассчитываетсяИзЦенКомплектующих	Предопределенный	
				ГруппаФинансовогоУчета	Материалы	Наименование	
				ЕдиницаДляОтчетов	шт	Наименование	
				ЕдиницаИзмерения	шт	Наименование	
				ИспользованиеХарактеристик	НеИспользовать	Предопределенный	
				КоэффициентЕдиницыДляОтчетов	1		
				ТипНоменклатуры	Товар	Предопределенный	
				СтавкаНДС	НДС18	Предопределенный	
				ШаблонНаименованияДляПечатиНоменклатуры	[Наименование]		
Справочник	ВидыНоменклатуры	Работы					
				Ссылка	ea889dd9-cf37-11e5-80c8-00155d01cd0e		
				Наименование	Работы (Авто-тест)		
				ВариантОформленияПродажи	АктВыполненныхРабот	Предопределенный	
				ВариантПредставленияНабораВПечатныхФормах	НаборИКомплектующие	Предопределенный	
				ВариантРасчетаЦеныНабора	РассчитываетсяИзЦенКомплектующих	Предопределенный	
				ИспользованиеХарактеристик	НеИспользовать	Предопределенный	
				КоэффициентЕдиницыДляОтчетов	1		
				ТипНоменклатуры	Работа	Предопределенный	
				ШаблонНаименованияДляПечатиНоменклатуры	[Наименование]		
				ШаблонНаименованияДляПечатиХарактеристики	[Наименование]		
