Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство	ЗаказНаПроизводствоГП1					
				Ссылка	bffaffcd-dc5d-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		

Документ	АктВыполненныхРабот	Акт1					
				Ссылка	6467e3bc-f5c0-11e5-80d0-00155d01ce18		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	Подразделение1					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	Склад					
				Ссылка	9e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
