Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	РесурсныеСпецификации	Спецификация1					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd20		
				Наименование	Спецификация 1 (Авто-тест)		
				Статус	Действует	Предопределенный	
				НачалоДействия	20150101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	Продукция работа (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1b	Гуид	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1b	Гуид	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал 2 (Авто-тест)	Наименование	
				КоличествоУпаковок	4		
				Количество	4		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1b	Гуид	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	3e181cd6-90ec-46d6-80cd-e3cdb63d2076	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
			Трудозатраты				
				ВидРабот	f1b045c8-daf8-11e5-80c8-00155d01cd0e	Гуид	
				Количество	24		
				СтатьяКалькуляции	ФОТ (Авто-тест)	Наименование	
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1b	Гуид	

Справочник	ЭтапыПроизводства	ЭтапП1					
				Ссылка	07c9a6fb-7a1b-11e5-80be-00155d01ce1b		
				Владелец	d2dff247-d70b-11e5-80c8-00155d01cd20	Гуид	
				Наименование	Этап П1 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
				ДнейДоОкончания	1		
			xddMods				
				Режим	ОбменДанными		
Справочник	ЭтапыПроизводства	ЭтапП2					
				Ссылка	07c9a6fb-7a1b-11e5-80be-00155d01ce1c		
				Владелец	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				Наименование	Этап П2 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	af11eac2-f651-11e5-80d0-00155d01ce18	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
				ДнейДоОкончания	1		
			xddMods				
				Режим	ОбменДанными		

Документ	ПлановаяКалькуляция	Калькуляция					
				Проведен	Истина		
				Ссылка	3cd2e30d-dc5c-11e5-80c8-00155d01cd0e		
				Дата	20160226235959		
				Статус	Действует	Предопределенный	
				ДатаНачалаДействия	20160101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				КалькуляционнаяЕдиница	1		
				ОбъектКалькуляции	РесурснаяСпецификация	Предопределенный	
				Валюта	643	Код	
				СуммаПоДокументу	53000		
				КраткийСоставДокумента	Калькуляция (Авто-тест)		
				Комментарий	Калькуляция (Авто-тест)		
			ДействиеКалькуляции				
				Объект	d2dff247-d70b-11e5-80c8-00155d01cd20	Гуид	СправочникСсылка.РесурсныеСпецификации
				ИспользоватьХарактеристику	Ложь		
			СтатьиКалькуляции				
				СтатьяКалькуляции	ФОТ (Авто-тест)	Наименование	
				СпособРасчета	ФиксированнымЗначением	Предопределенный	
				Сумма	3000		
			СтатьиКалькуляции				
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособРасчета	ФиксированнымЗначением	Предопределенный	
				Сумма	50000		
