Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство					
				Проведен	Истина		
				Ссылка	160360e0-07ed-11e7-a454-00215e64f5ec		
				Дата	20170313160052		
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный	
				Комментарий	Авто-тест		
				Очередь	1001		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Назначение	Подразделение 1 (Авто-тест), 28, 13.03.2017 (Заказ на производство)	Наименование	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	3,456		
				Количество	3,456		
				Спецификация	Спецификация товар 1 (Авто-тест)	Наименование	
				ДатаПотребности	20170331235959		
				НачатьНеРанее	20170313160036		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	Склад ГП (Авто-тест)	Наименование	
				ИзмененияЗапрещены	Ложь		
				КодСтроки	1		
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Ложь		
			Этапы				
				Этап	Этап П1 (Авто-тест)	Наименование	
				НомерЭтапа	1		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Количество	4		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				КлючСвязи	d1bc7d82-6d92-4620-8bc6-97204804afba	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КоличествоЭтаповНаЕдиницуСледующегоЭтапа	1		
				НаименованиеЭтапа	Спецификация товар 1 (Авто-тест)		
				ЭтапВосстановленияБрака	Ложь		
				ПроизводствоНаСтороне	Ложь		
				Спецификация	Спецификация товар 1 (Авто-тест)	Наименование	
			ВыходныеИзделия				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	4		
				Количество	4		
				Этап	Этап П1 (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	
				ДоляСтоимости	1		
				КлючСвязи	b18c1499-3231-4797-9f83-d487128aa59b	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	d1bc7d82-6d92-4620-8bc6-97204804afba	Гуид	
				ПроизводитсяВПроцессе	Ложь		
			ВозвратныеОтходы				
				Номенклатура	Отходы 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	4		
				Количество	4		
				Этап	Этап П1 (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	
				КлючСвязи	80165c6e-8f6c-43f3-9824-ee0805e0ba33	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	d1bc7d82-6d92-4620-8bc6-97204804afba	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				СтатьяКалькуляции	Возвратные отходы (Авто-тест)	Наименование	
			МатериалыИУслуги				
				Номенклатура	Материал 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	12		
				Количество	12		
				Этап	Этап П1 (Авто-тест)	Наименование	
				Склад	Склад (Авто-тест)	Наименование	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				ИспользуетсяАвтовыбор	Ложь		
				ПроизводитсяВПроцессе	Ложь		
				ВариантОбеспечения	Требуется	Предопределенный	
				ДатаПотребности	20170313000000		
				ЗаказатьНаСклад	Истина		
				КлючСвязи	f81cf756-f6f6-4eef-9254-d40b4e3688df	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	d1bc7d82-6d92-4620-8bc6-97204804afba	Гуид	
				КлючСвязиСпецификация	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				Запланировать	Ложь		
				УказыватьСерии	Ложь		
				КодСтроки	544		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				КлючСвязиЭтапыСтрока	d1bc7d82-6d92-4620-8bc6-97204804afba		
				Отменено	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал 2 (Авто-тест)	Наименование	
				КоличествоУпаковок	16		
				Количество	16		
				Этап	Этап П1 (Авто-тест)	Наименование	
				Склад	Склад (Авто-тест)	Наименование	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				ИспользуетсяАвтовыбор	Ложь		
				ПроизводитсяВПроцессе	Ложь		
				ВариантОбеспечения	Требуется	Предопределенный	
				ДатаПотребности	20170313000000		
				ЗаказатьНаСклад	Истина		
				КлючСвязи	7125dad0-bfb3-4a2e-80fb-588e0a6cc95b	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	d1bc7d82-6d92-4620-8bc6-97204804afba	Гуид	
				КлючСвязиСпецификация	3e181cd6-90ec-46d6-80cd-e3cdb63d2076	Гуид	
				Запланировать	Ложь		
				УказыватьСерии	Ложь		
				КодСтроки	545		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				КлючСвязиЭтапыСтрока	d1bc7d82-6d92-4620-8bc6-97204804afba		
				Отменено	Ложь		
