Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	СхемыОбеспечения	СхемаОбеспечения					
				Ссылка	4a8faa41-dc67-11e5-80c8-00155d01cd0e		
				Наименование	Схема обеспечения (Авто-тест)		
Справочник	СхемыОбеспечения	СхемаОбеспеченияПФ					
				Ссылка	68edf451-ec73-11e6-998b-00215e64f5ec		
				Наименование	Схема обеспечения ПФ (Авто-тест)		
Справочник	СпособыОбеспеченияПотребностей	ПеремещениеСЦентральногоСклада					
				Ссылка	69f28b9a-dc67-11e5-80c8-00155d01cd0e		
				Наименование	Перемещение с центрального склада (Авто-тест)		
				ИсточникОбеспеченияПотребностей	dae1f860-dc62-11e5-80c8-00155d01cd0e	ГУИД	СправочникСсылка.Склады
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	ГУИД	СправочникСсылка.Организации
				ТипОбеспечения	Перемещение	Предопределенный	
Справочник	СпособыОбеспеченияПотребностей	СпособОбеспечения_Производство					
				Ссылка	30e582f9-ec70-11e6-998b-00215e64f5ec		
				Наименование	Производство (Авто-тест)		
				ТипОбеспечения	Производство	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
Справочник	СпособыОбеспеченияПотребностей	СпособОбеспечения_Покупка					
				Ссылка	eb407569-ec70-11e6-998b-00215e64f5ec		
				Наименование	Покупка (Авто-тест)		
				ТипОбеспечения	Покупка	Предопределенный	
Справочник	СпособыОбеспеченияПотребностей	СпособОбеспечения_ПроизводствоПФ					
				Ссылка	781c20a1-ec73-11e6-998b-00215e64f5ec		
				Наименование	Производство ПФ (Авто-тест)		
				Организация	Организация (Авто-тест)	Наименование	
				ТипОбеспечения	Производство	Предопределенный	
				Подразделение	Подразделение ПФ (Авто-тест)	Наименование	
РегистрСведений	СхемыОбеспечения	СхемыОбеспечения1					
			Запись				
				СхемаОбеспечения	СхемаОбеспечения	Перем	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	ГУИД	СправочникСсылка.Склады
				СпособОбеспеченияПотребностей	СпособОбеспечения_Производство	Перем	
РегистрСведений	СхемыОбеспечения	СхемыОбеспечения2					
			Запись				
				СхемаОбеспечения	СхемаОбеспечения	Перем	
				Склад	8e35d959-c17e-11e4-8400-005056b03126	ГУИД	СправочникСсылка.Склады
				СпособОбеспеченияПотребностей	ПеремещениеСЦентральногоСклада	Перем	
РегистрСведений	СхемыОбеспечения	СхемыОбеспечения3					
			Запись				
				СхемаОбеспечения	СхемаОбеспечения	Перем	
				Склад	dae1f860-dc62-11e5-80c8-00155d01cd0e	ГУИД	СправочникСсылка.Склады
				СпособОбеспеченияПотребностей	СпособОбеспечения_Покупка	Перем	
РегистрСведений	СхемыОбеспечения	СхемыОбеспечения4					
			Запись				
				СхемаОбеспечения	СхемаОбеспеченияПФ	Перем	
				Склад	8e35d959-c17e-11e4-8400-005056b03126	ГУИД	СправочникСсылка.Склады
				СпособОбеспеченияПотребностей	СпособОбеспечения_ПроизводствоПФ	Перем	
							
