Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	РесурсныеСпецификации	СпецификацияГруппа				Группа	
				Ссылка	2dd5669f-4fdd-11e6-9b49-00221531299d		
				Наименование	Спецификации (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	РесурсныеСпецификации	Спецификация1					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd21		
				Наименование	Спецификация товар 1 (Авто-тест)		
				Родитель	СпецификацияГруппа	Перем	
				Статус	Действует	Предопределенный	
				НачалоДействия	20150101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	ЭтапП1	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			ВозвратныеОтходы				
				Номенклатура	d4dff247-d70b-11e5-80c8-01155d01cd1d	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	ЭтапП1	Перем	
				СтатьяКалькуляции	b5d03357-fb24-11e4-92f1-0050568b35ac	Гуид	
			МатериалыИУслуги				
				Номенклатура	Продукция ПФ (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	ЭтапП1	Перем	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			МатериалыИУслуги				
				Номенклатура	Материал 1 (Авто-тест)	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	ЭтапП1	Перем	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			МатериалыИУслуги				
				Номенклатура	Материал 2 (Авто-тест)	Наименование	
				КоличествоУпаковок	4		
				Количество	4		
				Этап	ЭтапП1	Перем	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	3e181cd6-90ec-46d6-80cd-e3cdb63d2076	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			Трудозатраты				
				ВидРабот	Виды работ (Авто-тест)	Наименование	
				Количество	24		
				СтатьяКалькуляции	ФОТ (Авто-тест)	Наименование	
				Этап	ЭтапП1	Перем	
			xddMods				
				Режим	ОбменДанными		
Справочник	РесурсныеСпецификации	СпецификацияПФ					
				Ссылка	d3dff247-d70b-11e5-80c8-00155d01cd21		
				Наименование	Спецификация ПФ (Авто-тест)		
				Родитель	СпецификацияГруппа	Перем	
				Статус	Действует	Предопределенный	
				НачалоДействия	20150101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	Продукция ПФ (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	ЭтапПФ	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал 3 (Авто-тест)	Наименование	
				КоличествоУпаковок	4		
				Количество	4		
				Этап	ЭтапПФ	Перем	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	3e181cd6-90ec-46d6-80cd-e3cdb63d2076	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
				СпособПолученияМатериала	Обеспечивать	Предопределенный	
			Трудозатраты				
				ВидРабот	Виды работ (Авто-тест)	Наименование	
				Количество	24		
				СтатьяКалькуляции	ФОТ (Авто-тест)	Наименование	
				Этап	ЭтапПФ	Перем	
			xddMods				
				Режим	ОбменДанными		
РегистрСведений	ОсновныеСпецификации	ОсновнаяГП					
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				Спецификация	Спецификация1	Перем	
РегистрСведений	ОсновныеСпецификации	ОсновнаяПФ					
				Номенклатура	Продукция ПФ (Авто-тест)	Наименование	
				Спецификация	СпецификацияПФ	Перем	
