Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	РесурсныеСпецификации	СпецификацияТовар1					
				Ссылка	ad46ff59-eecb-11e6-998b-00215e64f5ec		
				Родитель	Спецификации (Авто-тест)	Наименование	
				Наименование	Спецификация товар 1, мат с хар-ками		
				Код	00-000190		
				Статус	Действует	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Производство	Перем	
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1, материал	Наименование	
				КоличествоУпаковок	1.1		
				Количество	1.1		
				Этап	Производство	Перем	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	06c2de62-14b4-4278-8c3b-fe40f16c6187	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
Справочник	ЭтапыПроизводства	Производство					
				Ссылка	ad46ff5a-eecb-11e6-998b-00215e64f5ec		
				Владелец	СпецификацияТовар1	Перем	
				Наименование	Производство		
				НомерЭтапа	1		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
			xddMods				
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство					
				Проведен	Истина		
				Ссылка	1627ad62-ef62-11e6-998b-00215e64f5ec		
				Дата	20170101120000		
				Номер	АВТО-000002		
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	Рассчитан	Предопределенный	
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	СпецификацияТовар1	Перем	
				ДатаПотребности	20170110000000		
				НачатьНеРанее	20170101000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	Склад ГП (Авто-тест)	Наименование	
				ИзмененияЗапрещены	Истина		
				КодСтроки	1		
				КлючСвязи	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Истина		
			Этапы				
				Этап	Производство	Перем	
				НомерЭтапа	1		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Количество	3		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				КлючСвязи	c9aa6366-bff0-43e7-acfb-e281ca56681a	Гуид	
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КоличествоЭтаповНаЕдиницуСледующегоЭтапа	1		
				НаименованиеЭтапа	Спецификация товар 1, мат с хар-ками		
				ЭтапВосстановленияБрака	Ложь		
				ПроизводствоНаСтороне	Ложь		
				Спецификация	СпецификацияТовар1	Перем	
			ВыходныеИзделия				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	Производство	Перем	
				Склад	Склад ГП (Авто-тест)	Наименование	
				КлючСвязи	8ed5e2e0-fd1c-41b6-abef-32cc378c0b17	Гуид	
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КлючСвязиЭтапы	c9aa6366-bff0-43e7-acfb-e281ca56681a	Гуид	
				ПроизводитсяВПроцессе	Ложь		
			МатериалыИУслуги				
				Номенклатура	Материал с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1, материал	Наименование	
				КоличествоУпаковок	3.3		
				Количество	3.3		
				Этап	Производство	Перем	
				Склад	Склад (Авто-тест)	Наименование	
				СтатьяКалькуляции	Материалы основные (Авто-тест)	Наименование	
				ИспользуетсяАвтовыбор	Ложь		
				ПроизводитсяВПроцессе	Ложь		
				ВариантОбеспечения	Требуется	Предопределенный	
				ДатаПотребности	20170101000000		
				ЗаказатьНаСклад	Истина		
				КлючСвязи	2a6c3977-402d-4482-86f0-1a5206c7fa0a	Гуид	
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КлючСвязиЭтапы	c9aa6366-bff0-43e7-acfb-e281ca56681a	Гуид	
				КлючСвязиСпецификация	06c2de62-14b4-4278-8c3b-fe40f16c6187	Гуид	
				Запланировать	Ложь		
				УказыватьСерии	Ложь		
				КодСтроки	546		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				КлючСвязиЭтапыСтрока	c9aa6366-bff0-43e7-acfb-e281ca56681a		
				Отменено	Ложь		
			ПродукцияГрафик				
				Начало	20170101000000		
				Окончание	20170110000000		
				СделаныИзменения	Ложь		
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
			ЭтапыГрафик				
				Этап	Производство	Перем	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Количество	3		
				НачалоПредварительногоБуфера	20170101000000		
				НачалоЭтапа	20170101000000		
				ОкончаниеЭтапа	20170110000000		
				ОкончаниеЗавершающегоБуфера	20170110000000		
				НомерЭтапа	1		
				КодСтроки	1		
				КлючСвязи	73e7dc7a-943c-4c7c-83ca-e9250333e3fb	Гуид	
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КлючСвязиЭтапы	c9aa6366-bff0-43e7-acfb-e281ca56681a	Гуид	
				Спецификация	СпецификацияТовар1	Перем	
			ВыходныеИзделияГрафик				
				ДатаЗапуска	20170101000000		
				ДатаВыпуска	20170110000000		
				КоличествоУпаковок	3		
				Количество	3		
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КлючСвязиЭтапыГрафик	73e7dc7a-943c-4c7c-83ca-e9250333e3fb	Гуид	
				КлючСвязиВыходныеИзделия	8ed5e2e0-fd1c-41b6-abef-32cc378c0b17	Гуид	
			МатериалыИУслугиГрафик				
				ДатаПотребности	20170101000000		
				КоличествоУпаковок	3.3		
				Количество	3.3		
				КлючСвязиПродукция	61b9a8d0-7b81-4cfd-81a9-20f572ea01d3	Гуид	
				КлючСвязиЭтапыГрафик	73e7dc7a-943c-4c7c-83ca-e9250333e3fb	Гуид	
				КлючСвязиМатериалыИУслуги	2a6c3977-402d-4482-86f0-1a5206c7fa0a	Гуид	
				ВариантОбеспечения	Требуется	Предопределенный	
Документ	МаршрутныйЛистПроизводства	МаршрутныйЛист					
				Проведен	Истина		
				Ссылка	a27e835a-ef62-11e6-998b-00215e64f5ec		
				Дата	20170101000000		
				Номер	АВТО-000806		
				Организация	Организация (Авто-тест)	Наименование	
				Статус	Выполнен	Предопределенный	
				Этап	Производство	Перем	
				Спецификация	СпецификацияТовар1	Перем	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Распоряжение	ЗаказНаПроизводство	Перем	
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КодСтроки	1		
				КодСтрокиЭтапыГрафик	1		
				Начало	20170101000000		
				Окончание	20170110000000		
				Запланировано	3		
				Произведено	2		
				НачалоРаботыКлючевогоРабочегоЦентраПоГрафику	20170101000000		
				ОкончаниеРаботыКлючевогоРабочегоЦентраПоГрафику	20170110000000		
				ФактическоеОкончаниеРаботыКлючевогоРабочегоЦентра	20170210103113		
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ГотовоКРаботеКлючевогоРабочегоЦентра	Истина		
				ДатаВыполненияРаботВПредварительномБуфере	20170210103113		
