Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ЭтапыПроизводства	Этап1					
				Ссылка	07c9a6fb-7a1b-11e5-80be-00155d01ce1c		
				Владелец	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				Наименование	Этап П1 (Авто-тест)		
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				ЗанимаемаяМощность	100		
				МаксимальноеКоличествоЕдиницПартийИзделия	0		
			xddMods				
				Режим	ОбменДанными		
Справочник	РесурсныеСпецификации	Спецификация1					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd21		
				Родитель	2dd5669f-4fdd-11e6-9b49-00221531299d	Гуид	
				Наименование	Спецификация 2 товар 1 (Авто-тест)		
				Статус	Действует	Предопределенный	
				НачалоДействия	20160101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ПечатьМаршрутнойКарты	ПоЭтапам	Предопределенный	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап1	Перем	
				ДоляСтоимости	1		
				ТребуетсяУказыватьСерии	Ложь		
			МатериалыИУслуги				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап1	Перем	
				СтатьяКалькуляции	0925934c-65ed-11e5-80c8-005056b06236	Гуид	
				СпособАвтовыбораНоменклатуры	УказываетсяВНСИ	Предопределенный	
				СпособАвтовыбораХарактеристики	УказываетсяВНСИ	Предопределенный	
				КлючСвязи	81e90ca4-7d1b-40b8-8eba-7574c220eac0	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				ТребуетсяУказыватьСерии	Ложь		
			ВозвратныеОтходы				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				Этап	Этап1	Перем	
				СтатьяКалькуляции	b5d03357-fb24-11e4-92f1-0050568b35ac	Гуид	
			xddMods				
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство					
				Проведен	Истина		
				Ссылка	affaffcd-dc5d-11e5-80c8-00155d01cd0e		
				Дата	20160101120001		
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	Рассчитан	Предопределенный	
				Комментарий	Авто-тест		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Назначение	5a8d29e0-6f6e-11e6-998b-00215e64f5ec	Гуид	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
				ДатаПотребности	20160125000000		
				НачатьНеРанее	20160101000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ИзмененияЗапрещены	Истина		
				КодСтроки	1		
				КлючСвязи	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Истина		
			Этапы				
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				НомерЭтапа	1		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Количество	3		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
				ДлительностьЭтапа	1		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				КлючСвязи	167b398c-7cdc-47a2-99f5-3b23cdf60e3f	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КоличествоЭтаповНаЕдиницуСледующегоЭтапа	1		
				НаименованиеЭтапа	Спецификация 2 товар 1 (Авто-тест)		
				ЭтапВосстановленияБрака	Ложь		
				ПроизводствоНаСтороне	Ложь		
				Спецификация	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	
			ВыходныеИзделия				
				Номенклатура	d2dff247-d70b-11e5-80c8-00155d01cd1d	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				ДоляСтоимости	1		
				КлючСвязи	a57b34da-309a-4059-9e85-0c426428c84b	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	167b398c-7cdc-47a2-99f5-3b23cdf60e3f	Гуид	
				ПроизводитсяВПроцессе	Ложь		
			ВозвратныеОтходы				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				Склад	9e35d959-c17e-11e4-8400-005056b03126	Гуид	
				КлючСвязи	bbfde1d0-e7b3-42c4-bd42-b67c7b3eaf4a	Гуид	
				КлючСвязиПродукция	a57005d4-2aa9-4425-aca2-70ac6ddf6a68	Гуид	
				КлючСвязиЭтапы	167b398c-7cdc-47a2-99f5-3b23cdf60e3f	Гуид	
				ПроизводитсяВПроцессе	Ложь		
				СтатьяКалькуляции	b5d03357-fb24-11e4-92f1-0050568b35ac	Гуид	
			МатериалыИУслуги				
				Номенклатура	fd53b66a-dc5a-11e5-80c8-00155d01cd0e	Гуид	
				КоличествоУпаковок	3		
				Количество	3		
				Этап	07c9a6fb-7a1b-11e5-80be-00155d01ce1c	Гуид	
				Склад	8e35d959-c17e-11e4-8400-005056b03126	Гуид	
				СтатьяКалькуляции	0925934c-65ed-11e5-80c8-005056b06236	Гуид	
				ИспользуетсяАвтовыбор	Ложь		
				ПроизводитсяВПроцессе	Ложь		
