Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	ПодразделениеГП					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	ПодразделениеПФ					
				Ссылка	b56e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	Склад					
				Ссылка	8e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
