Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ОтчетКомиссионера	ОтчетКомиссионера1					
				Ссылка	092a6b47-944f-11e6-998b-00215e64f5ec		
				Дата	20160531000000		
				Организация	Организация (Авто-тест)	Наименование	
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом комиссия (Авто-тест)	Наименование	
				Валюта	643	Код	
				СуммаДокумента	3000		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СпособРасчетаВознаграждения	ПроцентОтРазностиСуммыПродажиИСуммыКомитента	Предопределенный	
				ПроцентВознаграждения	10		
				СуммаВознаграждения	100		
				СтавкаНДСВознаграждения	НДС18	Предопределенный	
				СуммаНДСВознаграждения	15,25		
				УдержатьВознаграждение	Истина		
				Услуга	Комиссионное вознаграждение	Наименование	
				ДатаПлатежа	20160531000000		
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				НачалоПериода	20160501000000		
				КонецПериода	20160531000000		
				Договор	Договор комиссии (Авто-тест)	Наименование	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				ИдентификаторПлатежа	ОК1605АВ000000010008		
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				СтатьяРасходов	Комиссионные вознаграждения (Авто-тест)	Наименование	
			Товары				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				КоличествоУпаковокУчет	1		
				КоличествоУпаковок	1		
				Количество	1		
				Цена	2000		
				Сумма	2000		
				СтавкаНДС	НДС0	Предопределенный	
				СуммаСНДС	2000		
				ЦенаПродажи	3000		
				СуммаПродажи	3000		
				СуммаВознаграждения	100		
				СуммаНДСВознаграждения	15,25		
				ДатаСчетаФактурыКомиссионера	20160530000000		
				Покупатель	Покупатель (Авто-тест)	Наименование	
				ИдентификаторСтроки	fb5e5e2b-1d33-4cda-90bb-7b6825eaee20		
				НомерСчетаФактурыКомиссионера	01		
			ЭтапыГрафикаОплаты				
				ДатаПлатежа	20160531000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	3000		
