Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	СтруктураПредприятия	Подразделение					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ЗаказКлиента	ЗаказКлиента1					
				Ссылка	1526dc99-8ee6-11e6-998b-00215e64f5ec		
				ПометкаУдаления	Ложь		
				Дата	20160101235959		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом без договоров (Авто-тест)	Наименование	
				Валюта	643	Код	
				Склад	Склад ГП (Авто-тест)	Наименование	
				ЦенаВключаетНДС	Истина		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НеОтгружатьЧастями	Истина		
				ДатаОтгрузки	20160110		
				Статус	КОбеспечению	Предопределенный	
				МаксимальныйКодСтроки	1		
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	СправочникСсылка.Пользователи
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	Самовывоз	Предопределенный	
				Приоритет	Средний	Наименование	
				ИдентификаторПлатежа	ЗК1601АВ000000010001		
			Товары				
				Номенклатура	Продукция товар (Авто-тест)	Наименование	
				Характеристика		Наименование	
				КоличествоУпаковок	25		
				Количество	25		
				Цена	1000		
				Сумма	25000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	3813,56		
				СуммаСНДС	25000		
				КодСтроки	1		
				Отменено	Ложь		
				Склад	Склад ГП (Авто-тест)	Наименование	
				ВариантОбеспечения	Требуется	Предопределенный	
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеОтгрузки	Предопределенный	
				ДатаПлатежа	20160101000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	25000		
