Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство2_2	ЗаказНаПроизводствоГП1					
				Ссылка	26c05d53-88c2-11e7-9b01-00215e64f5ec		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Документ	ЗаказНаПроизводство2_2	ЗаказНаПроизводствоПФ1					
				Ссылка	59285dc2-88c2-11e7-9b01-00215e64f5ec		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Документ	РеализацияТоваровУслуг	РТУ1					
				Ссылка	e75c7b68-4fe2-11e6-9b49-00221531299d		
			xddMods				
				Режим	ТолькоСоздание		
Документ	РеализацияТоваровУслуг	РТУ2					
				Ссылка	12354d68-4fe3-11e6-9b49-00221531299d		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	Подразделение1					
				Ссылка	b46e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	СтруктураПредприятия	ПодразделениеПФ					
				Ссылка	b56e00f0-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	СкладГП					
				Ссылка	9e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Склады	СкладПроизводство					
				Ссылка	8e35d959-c17e-11e4-8400-005056b03126		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Бригады	Бригада					
				Ссылка	aacadf97-95d7-11e6-998b-00215e64f5ec		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Бригады	БригадаПФ					
				Ссылка	cb02bab5-8975-11e7-9b01-00215e64f5ec		
			xddMods				
				Режим	ТолькоСоздание		
