Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	МоделиБюджетирования	ГруппаМоделей				Группа	
				Ссылка	f7d221b3-8c6a-11e6-998b-00215e64f5ec		
				Наименование	Группа моделей (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	МоделиБюджетирования	Модель					
				Ссылка	ea8a4df1-8c6a-11e6-998b-00215e64f5ec		
				Родитель	ГруппаМоделей	Перем	
				Наименование	Модель (Авто-тест)		
				Статус	Действует	Предопределенный	
				НачалоДействия	20160101000000		
				ИспользоватьУтверждениеБюджетов	Истина		
				БюджетыПоОрганизациям	Истина		
				Периодичность	Месяц	Предопределенный	
				АвтоматическиФормироватьЗадачи	Истина		

Справочник	СтатьиБюджетов	ГруппаСтатьиБюджетов				Группа	
				Ссылка	daae2442-8c6b-11e6-998b-00215e64f5ec		
				Наименование	Статьи бюджетов (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	СтатьиБюджетов	СтатьяОплатаПоставщику					
				Ссылка	e4b38256-8c6b-11e6-998b-00215e64f5ec		
				Родитель	ГруппаСтатьиБюджетов	Перем	
				Наименование	Оплата поставщику (Авто-тест)		
				ВидАналитики1	СтатьиДвиженияДенежныхСредств	Предопределенный	
				КоличествоИспользуемыхАналитик	1		
Справочник	СтатьиБюджетов	СтатьяПоступленияОтПокупателей					
				Ссылка	721cd586-8c6d-11e6-998b-00215e64f5ec		
				Родитель	ГруппаСтатьиБюджетов	Перем	
				Наименование	Поступления от покупателей (Авто-тест)		
				ВидАналитики1	СтатьиДвиженияДенежныхСредств	Предопределенный	
				КоличествоИспользуемыхАналитик	1		

Справочник	ПравилаЛимитовПоДаннымБюджетирования	ЛимитОплатаПоставщику					
				Ссылка	f071f2bb-8c6b-11e6-998b-00215e64f5ec		
				Владелец	Модель	Перем	
				Наименование	Оплата поставщику (Авто-тест)		
				СтатьяБюджета	СтатьяОплатаПоставщику	Перем	
				Периодичность	Месяц	Предопределенный	
				ПредставлениеАналитик	Организация, , Статьи ДДС		
				ТипЛимита	РазрешающийВПределахЛимита	Предопределенный	
			ИспользуемыеАналитики				
				ИмяИзмерения	Организация		
			ИспользуемыеАналитики				
				ВидАналитики	СтатьиДвиженияДенежныхСредств	Предопределенный	

Справочник	ПоказателиБюджетов	ГруппаПоказателей					
				Ссылка	57ca6b1d-aa32-11e4-ae9d-e41f131c6952		
				Наименование	Показатели бюджетов (Авто-тест)		
			xddMods				
				Режим	Группа		
				Режим	ОбменДанными		
Справочник	ПоказателиБюджетов	ОстатокДенежныхСредств					
				Ссылка	57ca6b1d-aa32-11e4-ae9d-e41f131c6951		
				Родитель	ГруппаПоказателей	Перем	
				Наименование	Остаток денежных средств (Авто-тест)		
				ВидАналитики1	Организации	Предопределенный	
				КоличествоИспользуемыхАналитик	1		
				УчитыватьПоВалюте	Истина		
				ТипПоказателя	Расчетный	Предопределенный	
			xddMods				
				Режим	ОбменДанными		
РегистрСведений	СвязиПоказателейБюджетов	СвязиПоказателейБюджетов1					
			Запись				
				СтатьяБюджетов	СтатьяОплатаПоставщику	Перем	
				СвязанныйПоказательБюджетов	ОстатокДенежныхСредств	Перем	
				Расход	Истина		
				ТранслироватьАналитику1	Ложь		
				ТранслироватьАналитику2	Ложь		
				ТранслироватьАналитику3	Ложь		
				ТранслироватьАналитику4	Ложь		
				ТранслироватьАналитику5	Ложь		
				ТранслироватьАналитику6	Ложь		
				Коэффициент	1		
РегистрСведений	СвязиПоказателейБюджетов	СвязиПоказателейБюджетов2					
			Запись				
				СтатьяБюджетов	СтатьяПоступленияОтПокупателей	Перем	
				СвязанныйПоказательБюджетов	ОстатокДенежныхСредств	Перем	
				Расход	Ложь		
				ТранслироватьАналитику1	Ложь		
				ТранслироватьАналитику2	Ложь		
				ТранслироватьАналитику3	Ложь		
				ТранслироватьАналитику4	Ложь		
				ТранслироватьАналитику5	Ложь		
				ТранслироватьАналитику6	Ложь		
				Коэффициент	1		

Справочник	Сценарии	ГруппаСценарии				Группа	
				Ссылка	e5173ff7-8c84-11e6-998b-00215e64f5ec		
				Наименование	Сценарии (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	Сценарии	План					
				Ссылка	efd8f782-8c84-11e6-998b-00215e64f5ec		
				Родитель	ГруппаСценарии	Перем	
				Наименование	План (Авто-тест)		
				Валюта	643	Код	
