Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
				Наименование	Организация (Авто-тест)		
				ГоловнаяОрганизация	826d44d7-d70b-11e5-80c8-00155d01cd0e		
				ЕстьОбособленныеПодразделения	Истина		
				НаименованиеПолное	Организация (Авто-тест)		
				НаименованиеСокращенное	Организация (Авто-тест)		
				РайонныйКоэффициент	1		
				Префикс	АВ		
				РайонныйКоэффициентРФ	1		
				ЮрФизЛицо	ЮрЛицо	Предопределенный	
				ЮридическоеФизическоеЛицо	ЮридическоеЛицо	Предопределенный	
				РегистрацияВНалоговомОргане	c3785842-f0ee-11e5-80d0-00155d01ce18	ГУИД	
			xddMods				
				Режим	ОбменДанными		
Справочник	УчетныеПолитикиОрганизаций	УчетнаяПолитика					
				Ссылка	205792b8-b738-11e4-9e57-005056b03126		
				Наименование	УП 2015 (Авто-тест)		
				МетодОценкиСтоимостиТоваров	СредняяЗаМесяц	Предопределенный	
				СистемаНалогообложения	Общая	Предопределенный	
				ПрименяетсяПБУ18	Истина		
				УчетГотовойПродукцииПоПлановойСтоимости	Ложь		
				ФормироватьРезервыПоСомнительнымДолгамБУ	Истина		
				ФормироватьРезервыПоСомнительнымДолгамНУ	Истина		
				ВзаимозачетЧерезСчет76	Истина		
				МетодНачисленияАмортизацииНУ	Линейный	Предопределенный	
РегистрСведений	УчетнаяПолитикаОрганизаций	УПЗапись					
			Запись				
				Период	20150101000000		
				Организация	Организация	Перем	
				ПлательщикЕНВД	Ложь		
				УчетнаяПолитика	УчетнаяПолитика	Перем	
				ПрименяетсяПБУ18	Истина		
				ПлательщикНалогаНаПрибыль	Истина		
				ПрименяетсяУСН	Ложь		
				ПрименяетсяУСНДоходыМинусРасходы	Ложь		
РегистрСведений	ПорядокОтраженияРасчетовСПартнерами	РасчетыЗапись					
			Запись				
				Организация	Организация	Перем	
				СчетУчетаРасчетовСПоставщиками	РасчетыСПоставщиками	Предопределенный	
				СчетУчетаАвансовВыданных	РасчетыПоАвансамВыданным	Предопределенный	
				СчетУчетаРасчетовПоПретензиям	РасчетыПоПретензиям	Предопределенный	
РегистрСведений	ПорядокОтраженияНоменклатуры	ПорядокОтраженияНоменклатуры					
			Запись				
				Организация	Организация	Перем	
				СчетУчетаНаСкладе	ТоварыНаСкладах	Предопределенный	
				СчетУчетаНДСПриЗакупке	НДСпоПриобретеннымМПЗ	Предопределенный	
Справочник	РегистрацииВНалоговомОргане	ИФНС					
				Ссылка	c3785842-f0ee-11e5-80d0-00155d01ce18		
				Владелец	Организация	Перем	
				Наименование	ИФНС		
				КПП	785050001		
				НаименованиеИФНС	Инспекция федеральной налоговой службы		
РегистрСведений	ИсторияРегистрацийВНалоговомОргане	ИсторияРегистрацийВНалоговомОргане					
			Запись				
				Период	20160101000000		
				СтруктурнаяЕдиница	Организация	Перем	
				РегистрацияВНалоговомОргане	ИФНС	Перем	
РегистрСведений	ПорядокОтраженияРасходов	ПорядокОтраженияРасходов1					
			Запись				
				Организация	Организация	Перем	
				Подразделение			СправочникСсылка.СтруктураПредприятия
				СчетУчета	ОсновноеПроизводство	Предопределенный	
				СпособНастройкиСчетовУчета	ОдинаковоДляВсехДокументов	Предопределенный	
				ВидСубконто	Статьи затрат	Наименование	
РегистрСведений	ПорядокОтраженияРасходов	ПорядокОтраженияРасходов2					
			Запись				
				Организация	Организация	Перем	
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	СправочникСсылка.СтруктураПредприятия
				СчетУчета	ОсновноеПроизводство	Предопределенный	
				СпособНастройкиСчетовУчета	ОдинаковоДляВсехДокументов	Предопределенный	
				ВидСубконто	Статьи затрат	Наименование	
