Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказПоставщику	ЗаказПоставщику1					
				Проведен	Истина		
				Ссылка	80c1a547-6aab-11e6-a6e0-00215e64f5ec		
				Дата	20160101235959		
				Партнер	317b1972-cf52-11e5-80c8-00155d01cd0e	Гуид	
				Контрагент	317b1973-cf52-11e5-80c8-00155d01cd0e	Гуид	
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Склад	dae1f860-dc62-11e5-80c8-00155d01cd0e	Гуид	
				Валюта	643	Код	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				Статус	Подтвержден	Предопределенный	
				СуммаДокумента	1180		
				МаксимальныйКодСтроки	1		
				Согласован	Истина		
				БанковскийСчет	b5711e52-6a07-11e6-a6e0-00215e64f5ec	Гуид	
				ДатаПервогоПоступления	20160131000000		
				ДатаСогласования	20160825000000		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				НомерПоДаннымПоставщика	123456		
				ДатаПоДаннымПоставщика	20160101000000		
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПоступлениеОднойДатой	Истина		
				ДатаПоступления	20160131000000		
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Приоритет	5dd3b2a2-aa1d-11e4-ae9d-e41f131c6950	Гуид	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
				АдресДоставки	112000, РФ, г. Москва, ул. Пражская, 4		
			Товары				
				Номенклатура	b3e7f98d-6ac6-11e6-a6e0-00215e64f5ec	Гуид	
				КоличествоУпаковок	1		
				Количество	1		
				ДатаПоступления	20160131000000		
				Цена	1000		
				Сумма	1000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	180		
				СуммаСНДС	1180		
				КодСтроки	1		
				Отменено	Ложь		
				Склад	dae1f860-dc62-11e5-80c8-00155d01cd0e	Гуид	
				СписатьНаРасходы	Ложь		
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				СтатьяРасходов	Комиссионные вознаграждения (Авто-тест)	Наименование	
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеПоступления	Предопределенный	
				ДатаПлатежа	20160825000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	1180		
				ПроцентЗалогаЗаТару	100		
Документ	ПоступлениеУслугПрочихАктивов	ПоступлениеУслугИПрочихАктивов1					
				Проведен	Истина		
				Ссылка	dec0a96c-71e5-11e7-b619-00215e64f5ec		
				Дата	20160102120000		
				Организация	Организация (Авто-тест)	Наименование	
				Партнер	Поставщик (Авто-тест)	Наименование	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				Валюта	643	Код	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20160102000000		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаДокумента	1180		
				СуммаВзаиморасчетов	1180		
				БанковскийСчетОрганизации	Банковский счет (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				_ЗаказПоставщику	ЗаказПоставщику1	Перем	
				Курс	1		
				Кратность	1		
				ПорядокОплаты	РасчетыВРубляхОплатаВРублях	Предопределенный	
			Расходы				
				Содержание	Услуга 1 (Авто-тест)		
				Количество	1		
				Цена	1000		
				Сумма	1000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	180		
				СуммаСНДС	1180		
				СтатьяРасходов	Торговый сбор	Наименование	
				АналитикаРасходов			СправочникСсылка.Склады
				ИдентификаторСтроки	00643fd0-718c-4f96-b861-60cf3a81cd5e		
				СуммаВзаиморасчетов	1180		
				СуммаНДСВзаиморасчетов	180		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
