Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Склады	ЦентральныйСклад					
				Ссылка	dae1f860-dc62-11e5-80c8-00155d01cd0e		
				Наименование	Центральный склад (Авто-тест)		
				ВыборГруппы	Запретить	Предопределенный	
				НастройкаАдресногоХранения	НеИспользовать	Предопределенный	
				ТипСклада	ОптовыйСклад	Предопределенный	
				УровеньОбслуживания	УровеньОбслуживания84_0	Предопределенный	
				ИспользованиеРабочихУчастков	НеИспользовать	Предопределенный	
				ИсточникИнформацииОЦенахДляПечати	ПоСебестоимости	Предопределенный	
				КонтролироватьОбеспечение	Истина		
			xddMods				
				Режим	ОбменДанными		
Справочник	Склады	Склад					
				Ссылка	9e35d959-c17e-11e4-8400-005056b03126		
				Наименование	Склад		
				ВыборГруппы	Запретить	Предопределенный	
				НастройкаАдресногоХранения	НеИспользовать	Предопределенный	
				ТипСклада	ОптовыйСклад	Предопределенный	
				УровеньОбслуживания	УровеньОбслуживания84_0	Предопределенный	
				ИспользованиеРабочихУчастков	НеИспользовать	Предопределенный	
				ИсточникИнформацииОЦенахДляПечати	ПоСебестоимости	Предопределенный	
				КонтролироватьОбеспечение	Истина		
			xddMods				
				Режим	ОбменДанными		
РегистрСведений	НастройкаПередачиМатериаловВПроизводство	Запись1					
			Запись				
				Подразделение	b46e00f0-d70b-11e5-80c8-00155d01cd0e	Гуид	
				Склад	Склад	Перем	
				ОснованиеДляПолучения	ПоЗаказуНаПроизводство	Предопределенный	
РегистрСведений	НастройкаПередачиМатериаловВПроизводство	Запись2					
			Запись				
				Подразделение	af11eac2-f651-11e5-80d0-00155d01ce18	Гуид	
				Склад	Склад	Перем	
				ОснованиеДляПолучения	ПоЗаказуНаПроизводство	Предопределенный	
