Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ВзаимозачетЗадолженности	ВзаимозачетЗадолженности1					
				Ссылка	ff6790f8-8c91-11e6-998b-00215e64f5ec		
				Дата	20160110112308		
				Организация	Организация (Авто-тест)	Наименование	
				КонтрагентДебитор	Поставщик (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				КонтрагентКредитор	Покупатель (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				СуммаДокумента	10000		
				Валюта	643	Код	
				ВидОперации	Произвольный	Предопределенный	
				ТипДебитора	Поставщик	Предопределенный	
				ТипКредитора	Клиент	Предопределенный	
			ДебиторскаяЗадолженность				
				ТипРасчетов	РасчетыСПоставщиком	Предопределенный	
				Партнер	Покупатель (Авто-тест)	Наименование	
				Заказ	Договор поставщик (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Сумма	10000		
				СуммаВзаиморасчетов	10000		
				ВалютаВзаиморасчетов	643	Код	
				ИдентификаторСтроки	8fc8dd6f-1074-4075-9f8d-7e187accdc13		
				Организация	Организация (Авто-тест)	Наименование	
			КредиторскаяЗадолженность				
				ТипРасчетов	РасчетыСКлиентом	Предопределенный	
				Партнер	Покупатель (Авто-тест)	Наименование	
				Заказ	Договор покупатель по заказам (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Сумма	10000		
				СуммаВзаиморасчетов	10000		
				ВалютаВзаиморасчетов	643	Код	
				ИдентификаторСтроки	e2f050d3-08fb-46bf-806a-3e0a7b11241f		
				Организация	Организация (Авто-тест)	Наименование	
Документ	ПоступлениеБезналичныхДенежныхСредств	ПоступлениеБезналичныхДС1					
				Ссылка	116cdb4f-8c91-11e6-998b-00215e64f5ec		
				Дата	20160101235959		
				Организация	Организация (Авто-тест)	Наименование	
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ТипПлатежногоДокумента	ПлатежноеПоручение	Предопределенный	
				ХозяйственнаяОперация	ПоступлениеОплатыОтКлиента	Предопределенный	
				СуммаДокумента	10000		
				Контрагент	Покупатель (Авто-тест)	Наименование	
				ДатаВходящегоДокумента	20160101000000		
				НомерВходящегоДокумента	1		
				Валюта	643	Код	
				ПроведеноБанком	Истина		
				ДатаПроведенияБанком	20160101000000		
			РасшифровкаПлатежа				
				Партнер	Покупатель (Авто-тест)	Наименование	
				СтатьяДвиженияДенежныхСредств	Поступления от покупателей (Авто-тест)	Наименование	
				ОснованиеПлатежа	Договор покупатель по заказам (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Заказ	Договор покупатель по заказам (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Сумма	10000		
				ВалютаВзаиморасчетов	643	Код	
				СуммаВзаиморасчетов	10000		
				СтатьяДоходов			
				ИдентификаторСтроки	a370c397-4510-4c3f-90ef-189e54c44ef8		
				Организация	Организация (Авто-тест)	Наименование	
Документ	СписаниеБезналичныхДенежныхСредств	СписаниеБезналичныхДС1					
				Ссылка	ab40338c-8c91-11e6-998b-00215e64f5ec		
				Дата	20160102120000		
				ДатаВходящегоДокумента	20160102000000		
				Контрагент	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ОплатаПоставщику	Предопределенный	
				НомерВходящегоДокумента	1		
				Организация	Организация (Авто-тест)	Наименование	
				ОчередностьПлатежа	5		
				СуммаДокумента	10000		
				Валюта	643	Код	
				БанковскийСчетКонтрагента	Счет поставщика	Наименование	
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ВидПеречисленияВБюджет	ИнойПлатеж	Предопределенный	
				ТипПлатежногоДокумента	ПлатежноеПоручение	Предопределенный	
				ПроведеноБанком	Истина		
				ДатаПроведенияБанком	20160102000000		
			РасшифровкаПлатежа				
				Партнер	Покупатель (Авто-тест)	Наименование	
				СтатьяДвиженияДенежныхСредств	Оплата поставщику (Авто-тест)	Наименование	
				Заказ	Договор поставщик (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Сумма	10000		
				ВалютаВзаиморасчетов	643	Код	
				СуммаВзаиморасчетов	10000		
				СтатьяРасходов			
				ИдентификаторСтроки	c53a9a3b-753d-4c36-b340-fec8d09aecab		
				Организация	Организация (Авто-тест)	Наименование	
Документ	СчетФактураВыданныйАванс	Счет_фактураВыданный_аванс1					
				Ссылка	31bb8b54-8c91-11e6-998b-00215e64f5ec		
				Дата	20160101235959		
				Организация	Организация (Авто-тест)	Наименование	
				ДокументОснование	ПоступлениеБезналичныхДС1	Перем	
				Контрагент	Покупатель (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				Сумма	10000		
				СуммаНДС	1525,42		
				НомерПлатежноРасчетногоДокумента	1		
				ДатаПлатежноРасчетногоДокумента	20160101000000		
				СтрокаПлатежноРасчетныеДокументы	1 от 01.01.2016		
				ДатаВыставления	20160101000000		
				КодВидаОперации	02		
				ПравилоОтбораАванса	ВсеОплаты	Предопределенный	
			Авансы				
				ТипЗапасов	Товар	Предопределенный	
				Сумма	10000		
				СтавкаНДС	НДС18_118	Предопределенный	
				СуммаНДС	1525,42		
