Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	СчетФактураПолученный	СчетФактураПолученный1					
				Ссылка	7d78f9af-945c-11e6-998b-00215e64f5ec		
				Дата	20160501235959		
				Организация	Организация (Авто-тест)	Наименование	
				Валюта	руб.	Наименование	
				КодВидаОперации	01		
				Контрагент	Поставщик (Авто-тест)	Наименование	СправочникСсылка.Контрагенты
				ДатаСоставления	20160501000000		
				ДатаЗаписиКнигиПокупок	20160501000000		
				КодВидаОперацииНаУменьшение	18		
			ДокументыОснования				
				ДокументОснование	7045696f-944d-11e6-998b-00215e64f5ec	Гуид	ДокументСсылка.ПоступлениеТоваровУслуг
