Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ВидыБюджетов	БДДСПлан					
				Ссылка	45642074-8c6e-11e6-998b-00215e64f5ec		
				Владелец	Модель	Перем	
				Наименование	БДДС план (Авто-тест)		
				ИспользоватьДляВводаПлана	Истина		
				Периодичность	Месяц	Предопределенный	
				СпособПланирования	НаФиксированныйПериод	Предопределенный	
				ВариантРасположенияГраницыФактическихДанных	ВнутриПериодаБюджета	Предопределенный	
				КоличествоПериодовСкользящегоБюджета	1		
				СмещениеГраницыФакта	1		
				ПериодичностьГраницыФакта	Месяц	Предопределенный	
			xddMods				
				Режим	ОбменДанными		

Справочник	ЭлементыФинансовыхОтчетов	ЗаголовокОтчета_БюджетДвиженияДенежныхСредств_БюджетДвиженияДенежныхСредств					
				Ссылка	6ffd52a2-8c6e-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Наименование	Заголовок отчета: Бюджет движения денежных средств, Бюджет движения денежных средств		
				ВидЭлемента	ЗаголовокОтчета	Предопределенный	
				НаименованиеДляПечати	Бюджет движения денежных средств		
				ДополнительныйОтбор	ХранилищеЗначения		
			РеквизитыВидаЭлемента				
				Реквизит	Текст	Наименование	
				Значение	Бюджет движения денежных средств		Строка
Справочник	ЭлементыФинансовыхОтчетов	Таблица_Таблица					
				Ссылка	94d05544-8c6e-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Наименование	Таблица: Таблица		
				ВидЭлемента	ТаблицаПоказателиВСтроках	Предопределенный	
				НаименованиеДляПечати	Таблица		
				ДополнительныйОтбор	ХранилищеЗначения		
Справочник	ЭлементыФинансовыхОтчетов	Колонки_Колонки					
				Ссылка	94d05545-8c6e-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Таблица_Таблица	Перем	
				Наименование	Колонки: Колонки		
				ВидЭлемента	Колонки	Предопределенный	
				НаименованиеДляПечати	Колонки		
				ДополнительныйОтбор	ХранилищеЗначения		
Справочник	ЭлементыФинансовыхОтчетов	Строки_Строки					
				Ссылка	94d05546-8c6e-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Таблица_Таблица	Перем	
				Наименование	Строки: Строки		
				ВидЭлемента	Строки	Предопределенный	
				НаименованиеДляПечати	Строки		
				ДополнительныйОтбор	ХранилищеЗначения		
Справочник	ЭлементыФинансовыхОтчетов	НастроитьЯчейки_НастройкаОформления					
				Ссылка	94d05547-8c6e-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Таблица_Таблица	Перем	
				Наименование	Настроить ячейки: Настройка оформления		
				ВидЭлемента	НастройкаЯчеек	Предопределенный	
				НаименованиеДляПечати	Настройка оформления		
				ДополнительныйОтбор	ХранилищеЗначения		
Справочник	ЭлементыФинансовыхОтчетов	Измерение_Месяц					
				Ссылка	08e2919b-8c73-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Колонки_Колонки	Перем	
				Наименование	Измерение: Месяц, Период, Месяц, Нет		
				ВидЭлемента	Измерение	Предопределенный	
				НаименованиеДляПечати	Месяц		
				ДополнительныйОтбор	ХранилищеЗначения		
			РеквизитыВидаЭлемента				
				Реквизит	Тип измерения	Наименование	
				Значение	Период	Предопределенный	ПеречислениеСсылка.ТипыИзмеренийФинансовогоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Периодичность	Наименование	
				Значение	Месяц	Предопределенный	ПеречислениеСсылка.Периодичность
			РеквизитыВидаЭлемента				
				Реквизит	Выводить вместе с родительским	Наименование	
				Значение	Ложь		Булево
Справочник	ЭлементыФинансовыхОтчетов	ПоказательБюджетов_ОстатокДенежныхСредств_Сумма_НачальныйОстаток					
				Ссылка	c0b3572c-8c78-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Строки_Строки	Перем	
				Наименование	Показатель бюджетов: Остаток денежных средств (Авто-тест), Остаток денежных средств (Авто-тест), Сумма, Начальный остаток, Год, [Начало периода данн		
				ВидЭлемента	ПоказательБюджетов	Предопределенный	
				НаименованиеДляПечати	Остаток денежных средств (Авто-тест)		
				ДополнительныйОтбор	ХранилищеЗначения		
			РеквизитыВидаЭлемента				
				Реквизит	Показатель бюджетов	Наименование	
				Значение	Остаток денежных средств (Авто-тест)	Наименование	СправочникСсылка.ПоказателиБюджетов
			РеквизитыВидаЭлемента				
				Реквизит	Выводимые показатели	Наименование	
				Значение	Сумма	Предопределенный	ПеречислениеСсылка.ТипыВыводимыхПоказателейБюджетногоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Тип значения показателя	Наименование	
				Значение	НачальныйОстаток	Предопределенный	ПеречислениеСсылка.ТипыЗначенийПоказателейБюджетногоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по организации	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по подразделению	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по сценарию	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Период смещения	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Периодичность смещения	Наименование	
				Значение	Год	Предопределенный	ПеречислениеСсылка.Периодичность
			РеквизитыВидаЭлемента				
				Реквизит	Нижняя граница данных	Наименование	
				Значение	[Начало периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Верхняя граница данных	Наименование	
				Значение	[Конец периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Начало периода группировки	Наименование	
				Значение	[Период группировки]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Конец периода группировки	Наименование	
				Значение	[Период группировки]		Строка
Справочник	ЭлементыФинансовыхОтчетов	Группа_СтатьиБюджетов					
				Ссылка	a9a36b00-8c6f-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Строки_Строки	Перем	
				Наименование	Группа: Статьи бюджетов (Авто-тест), Да		
				ВидЭлемента	Группа	Предопределенный	
				НаименованиеДляПечати	Статьи бюджетов (Авто-тест)		
				ДополнительныйОтбор	ХранилищеЗначения		
			РеквизитыВидаЭлемента				
				Реквизит	Выводить заголовок элемента	Наименование	
				Значение	Истина		Булево
Справочник	ЭлементыФинансовыхОтчетов	ПоказательБюджетов_ОстатокДенежныхСредств_Сумма_КонечныйОстаток					
				Ссылка	c0b3572d-8c78-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Строки_Строки	Перем	
				Наименование	Показатель бюджетов: Остаток денежных средств (Авто-тест), Остаток денежных средств (Авто-тест), Сумма, Конечный остаток, Год, [Начало периода данны		
				ВидЭлемента	ПоказательБюджетов	Предопределенный	
				НаименованиеДляПечати	Остаток денежных средств (Авто-тест)		
				ДополнительныйОтбор	ХранилищеЗначения		
			РеквизитыВидаЭлемента				
				Реквизит	Показатель бюджетов	Наименование	
				Значение	Остаток денежных средств (Авто-тест)	Наименование	СправочникСсылка.ПоказателиБюджетов
			РеквизитыВидаЭлемента				
				Реквизит	Выводимые показатели	Наименование	
				Значение	Сумма	Предопределенный	ПеречислениеСсылка.ТипыВыводимыхПоказателейБюджетногоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Тип значения показателя	Наименование	
				Значение	КонечныйОстаток	Предопределенный	ПеречислениеСсылка.ТипыЗначенийПоказателейБюджетногоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по организации	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по подразделению	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по сценарию	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Период смещения	Наименование	
				Значение			Число
			РеквизитыВидаЭлемента				
				Реквизит	Периодичность смещения	Наименование	
				Значение	Год	Предопределенный	ПеречислениеСсылка.Периодичность
			РеквизитыВидаЭлемента				
				Реквизит	Нижняя граница данных	Наименование	
				Значение	[Начало периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Верхняя граница данных	Наименование	
				Значение	[Конец периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Начало периода группировки	Наименование	
				Значение	[Период группировки]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Конец периода группировки	Наименование	
				Значение	[Период группировки]		Строка
Справочник	ЭлементыФинансовыхОтчетов	СтатьяБюджетов_ОплатаПоставщику					
				Ссылка	a9a36b01-8c6f-11e6-998b-00215e64f5ec		
				Владелец	БДДС план (Авто-тест)	Наименование	СправочникСсылка.ВидыБюджетов
				Родитель	Группа_СтатьиБюджетов	Перем	
				Наименование	Статья бюджетов: Оплата поставщику (Авто-тест), Оплата поставщику (Авто-тест), Сумма, Год, [Начало периода данных], [Конец периода данных], [Период		
				ВидЭлемента	СтатьяБюджетов	Предопределенный	
				НаименованиеДляПечати	Оплата поставщику (Авто-тест)		
				ДополнительныйОтбор	ХранилищеЗначения		
				ОбратныйЗнак	Истина		
			РеквизитыВидаЭлемента				
				Реквизит	Статья бюджетов	Наименование	
				Значение	Оплата поставщику (Авто-тест)	Наименование	СправочникСсылка.СтатьиБюджетов
			РеквизитыВидаЭлемента				
				Реквизит	Выводимые показатели	Наименование	
				Значение	Сумма	Предопределенный	ПеречислениеСсылка.ТипыВыводимыхПоказателейБюджетногоОтчета
			РеквизитыВидаЭлемента				
				Реквизит	Периодичность смещения	Наименование	
				Значение	Год	Предопределенный	ПеречислениеСсылка.Периодичность
			РеквизитыВидаЭлемента				
				Реквизит	Нижняя граница данных	Наименование	
				Значение	[Начало периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Верхняя граница данных	Наименование	
				Значение	[Конец периода данных]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Начало периода группировки	Наименование	
				Значение	[Период группировки]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Конец периода группировки	Наименование	
				Значение	[Период группировки]		Строка
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по организации	Наименование	
				Значение	Ложь		Булево
			РеквизитыВидаЭлемента				
				Реквизит	Использовать фильтр по подразделению	Наименование	
