Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	РесурсныеСпецификации	Спецификация1					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd21		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	РесурсныеСпецификации	Спецификация2					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd20		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ПлановаяКалькуляция	Калькуляция					
				Ссылка	3cd2e30d-dc5c-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство1					
				Ссылка	bffaffcd-dc5d-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство2					
				Ссылка	bffaffcf-dc5d-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг					
				Ссылка	f5f9b3e9-dc62-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Номенклатура	Материал1					
				Ссылка	fd53b66a-dc5a-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Номенклатура	Материал2					
				Ссылка	13c0f0ce-dc5b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Номенклатура	Продукция					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd1f		
			xddMods				
				Режим	ТолькоСоздание		
