Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ПлановаяКалькуляция	Калькуляция					
				Проведен	Истина		
				Ссылка	3cd2e30d-dc5c-11e5-80c8-00155d01cd0d		
				Дата	20160226235959		
				Статус	Действует	Предопределенный	
				ДатаНачалаДействия	20160101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				КалькуляционнаяЕдиница	1		
				ОбъектКалькуляции	РесурснаяСпецификация	Предопределенный	
				Валюта	643	Код	
				СуммаПоДокументу	53000		
				КраткийСоставДокумента	Калькуляция товар (Авто-тест)		
				Комментарий	Калькуляция товар (Авто-тест)		
			ДействиеКалькуляции				
				Объект	d2dff247-d70b-11e5-80c8-00155d01cd21	Гуид	СправочникСсылка.РесурсныеСпецификации
				ИспользоватьХарактеристику	Ложь		
			СтатьиКалькуляции				
				СтатьяКалькуляции	ФОТ	Наименование	
				СпособРасчета	ФиксированнымЗначением	Предопределенный	
				Сумма	3000		
			СтатьиКалькуляции				
				СтатьяКалькуляции	Материалы основные	Наименование	
				СпособРасчета	ФиксированнымЗначением	Предопределенный	
				Сумма	50000		
