Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	РесурсныеСпецификации	СпецификацияГруппа				Группа	
				Ссылка	2dd5669f-4fdd-11e6-9b49-00221531299d		
				Наименование	Спецификации (Авто-тест)		
			xddMods				
				Режим	Группа		
				Режим	ТолькоСоздание		
Справочник	Организации	Организация					
				Ссылка	826d44d7-d70b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
Справочник	Номенклатура	Материал1					
				Ссылка	fd53b66a-dc5a-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Справочник	Номенклатура	Материал2					
				Ссылка	13c0f0ce-dc5b-11e5-80c8-00155d01cd0e		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
Справочник	Номенклатура	Продукция					
				Ссылка	d2dff247-d70b-11e5-80c8-00155d01cd1f		
			xddMods				
				Режим	ТолькоСоздание		
				Режим	ОбменДанными		
