Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказНаПроизводство	ЗаказНаПроизводство1					
				Проведен	Истина		
				Ссылка	677c02f5-6ae4-11e7-9247-00215e64f5ed		
				Дата	20170717144005		
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Статус	КПроизводству	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				СтатусГрафикаПроизводства	ТребуетсяРассчитать	Предопределенный	
				Очередь	1008		
				ЗаказПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Приоритет	Средний	Наименование	
			Продукция				
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика		Наименование	
				КоличествоУпаковок	0,465		
				Количество	0,465		
				Спецификация	Продукция товар с характеристиками (Авто-тест)	Наименование	
				ДатаПотребности	20170717000000		
				НачатьНеРанее	20170717000000		
				РазмещениеВыпуска	КНачалу	Предопределенный	
				Склад	Склад (Авто-тест)	Наименование	
				ИзмененияЗапрещены	Ложь		
				КодСтроки	1		
				КлючСвязи	31073d76-6873-4cac-b297-cf7c786c51c6	Гуид	
				ОптимальноеКоличествоПередачиМеждуЭтапами	1		
				ЕстьСоответствиеСтандартнойСпецификации	Истина		
				ГрафикРассчитан	Ложь		
			Этапы				
				Этап	Этап	Наименование	
				НомерЭтапа	1		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Количество	5		
				Непрерывный	Ложь		
				ПланироватьРаботуВидовРабочихЦентров	Ложь		
				ЕдиницаИзмеренияДлительностиЭтапа	День	Предопределенный	
				ЕдиницаИзмеренияПредварительногоБуфера	День	Предопределенный	
				ЕдиницаИзмеренияЗавершающегоБуфера	День	Предопределенный	
				КлючСвязи	5c7741c2-05f5-41e6-97ea-df0dacf53703	Гуид	
				КлючСвязиПродукция	31073d76-6873-4cac-b297-cf7c786c51c6	Гуид	
				КоличествоЭтаповНаЕдиницуСледующегоЭтапа	1		
				НаименованиеЭтапа	Продукция товар с характеристиками (Авто-тест)		
				ЭтапВосстановленияБрака	Ложь		
				ПроизводствоНаСтороне	Ложь		
				Спецификация	Продукция товар с характеристиками (Авто-тест)	Наименование	
			ВыходныеИзделия				
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 2 (0.903)	Наименование	
				КоличествоУпаковок	0,5		
				Количество	0,5		
				Этап	Этап	Наименование	
				Склад	Склад (Авто-тест)	Наименование	
				КлючСвязи	d7e5b236-4a50-4127-8058-aef5d80d4782	Гуид	
				КлючСвязиПродукция	31073d76-6873-4cac-b297-cf7c786c51c6	Гуид	
				КлючСвязиЭтапы	5c7741c2-05f5-41e6-97ea-df0dacf53703	Гуид	
				ПроизводитсяВПроцессе	Ложь		
			МатериалыИУслуги				
