Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Бригады	БригадыГруппа				Группа	
				Ссылка	9fa767cb-95d7-11e6-998b-00215e64f5ec		
				Наименование	Бригады (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	Бригады	Бринада					
				Ссылка	aacadf97-95d7-11e6-998b-00215e64f5ec		
				Родитель	БригадыГруппа	Перем	
				Наименование	Бригада (Авто-тест)		
				ПрименятьРаспределениеПоКТУ	Истина		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
